painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,generated_emotion_text
david-burliuk_mountain-landscape-1943,Naive_Art_Primitivism,contentment,5,2,0,https://uploads7.wikiart.org/images/david-burliuk/mountain-landscape-1943.jpg,I am content because this painting looks to show a quiet life for those that live in a rural area. the painting looks like a village nature The people appear to be at home with their animals in a pretty setting which feels like contentment to me,Contentment
claude-monet_the-seine-at-vetheuil-3,Impressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/claude-monet/the-seine-at-vetheuil-3.jpg,A perfect life in a quaint little town with a happy colored sky A lonely canoe on the water outside the city,Amusement
vasily-vereshchagin_mausoleum-of-shah-i-zinda-in-samarkand-1870,Realism,awe,5,1,0,https://uploads6.wikiart.org/images/vasily-vereshchagin/mausoleum-of-shah-i-zinda-in-samarkand-1870.jpg,"the domes on the left have amazingly detailed shadows the domes on the left have amazingly detailed shadows Beautiful mosque on the most high steppe.  Built over one thousand years ago. Beautiful mosque on the most high steppe.  Built over one thousand years ago. The buildings look old and are like ancient ruins, and the history behind it seems amazing The buildings look old and are like ancient ruins, and the history behind it seems amazing",Awe
utagawa-kuniyoshi_women-20,Ukiyo_e,contentment,5,2,0,https://uploads5.wikiart.org/images/utagawa-kuniyoshi/women-20.jpg,"The woman looks lovingly over her shoulder at the cat who nuzzles against her companionably. It's a gentle, happy scene of a woman and her animal companion, rendered with beautiful detail of stripes, painted china, and a background scroll on the wall. These details are charming and add to the cozy feel. I love the way she look sat her cat all lovingly and he seems to love her too.",Contentment
albrecht-durer_the-owl-in-fight-with-other-birds,Northern_Renaissance,amusement,6,0,0,https://uploads0.wikiart.org/images/albrecht-durer/the-owl-in-fight-with-other-birds.jpg,The bird is quite funny in the way it eyes the scene beyond. I like the look on the owl's face. It's somewhat comical.  It looks like it could be a tattoo design. The center owl-like bird has an amused face and jovial facial expression. There appears to be a town hall meeting occurring among the birds in the sky.,Amusement
maurice-denis_virginal-spring-flowering-apple-trees,Symbolism,contentment,6,2,0,https://uploads3.wikiart.org/images/maurice-denis/virginal-spring-flowering-apple-trees.jpg,Whimsical flowering trees in a park with series of ghostly figures. I love the pops of white in this painting it reminds me of orange trees in blossom The trees are painted beautifully and give me a sense of serenity! I also love the contrast between the red ground and the green leaves. The ivory against the mauve background is fantastic. These look like little trees and flowers.,Contentment
frans-hals_daniel-van-aken-playing-the-violin,Baroque,contentment,5,2,0,https://uploads6.wikiart.org/images/frans-hals/daniel-van-aken-playing-the-violin.jpg,The man looks very in love with his violin which is nice to see. This man with the large hat is happily playing violin,Amusement
theodore-rousseau_a-hilly-landscape-in-auvergne-1831,Realism,contentment,5,2,0,https://uploads4.wikiart.org/images/theodore-rousseau/a-hilly-landscape-in-auvergne-1831.jpg,"It makes me feel like I'd like to be in the picture. It's natural and open. It seems so peaceful. the earth tones and lush greens look like a cool sunny day. The house is nestled among the hills on green, fertile looking soil, creating a sense of comfort and security.",Contentment
marc-chagall_king-david-1963,Naive_Art_Primitivism,fear,5,6,1,https://uploads7.wikiart.org/images/marc-chagall/king-david-1963.jpg,"The fallen, inverted winged figures as well as the faces in the darkness below make me fearful I'd say this is a depiction of a wedding, but it seems to be one that is going to cause the people at the bottom some serious grief. The people or angels falling, the dark and murky colors, and the fiery color at the top near the buildings makes this all seem like an omen of doom.",Fear
domingos-sequeira_the-worship-of-the-mages-1828,Romanticism,awe,5,1,0,https://uploads8.wikiart.org/images/domingos-sequeira/the-worship-of-the-mages-1828.jpg,"She looks like a very important person and all of the rest of the people are looking to her. She looks like a very important person and all of the rest of the people are looking to her. The detail of the scenery and the people were done by a master. The detail of the scenery and the people were done by a master. Whatever is happening here, you can tell it is a big event and a joyous occasion. Whatever is happening here, you can tell it is a big event and a joyous occasion. The moon is shining down on a biblical scene, leaving me in awe. The moon is shining down on a biblical scene, leaving me in awe.",Awe
john-henry-twachtman_venice-1,Impressionism,sadness,5,7,1,https://uploads8.wikiart.org/images/john-henry-twachtman/venice-1.jpg,"This painting makes me feel cold and alone. It seems so deserted and the colors are so muted that it feels lonely. The sky is a dark gray and makes me think of a chill. I don't enjoy looking at it. The water looks like it's filled with a lot of grime Cloudy skies and a little dark, there isn't much sense of movement or life.",Sadness
august-macke_our-street-with-horse-riding-bonn,Expressionism,sadness,5,7,1,https://uploads7.wikiart.org/images/august-macke/our-street-with-horse-riding-bonn.jpg,this looks like a boring dystopia with nothing interesting and people who are bored with their lives The buildings' lack of detail makes them look depressing.,
claude-monet_entrance-to-the-port-of-trouville,Impressionism,contentment,5,2,0,https://uploads7.wikiart.org/images/claude-monet/entrance-to-the-port-of-trouville.jpg,"I could see myself fishing with those men in the picture. It makes me feel relaxed, this would be a nice day on the beach. The glassy water looks fresh and welcoming, it adds to the focus on the boats The setting look like one that could be very enjoyable. The colors are subdued and the picture is bright. The people seem relaxed as they fish. The reflections of the ships make the water appear calm.",Contentment
aubrey-beardsley_frontispiece-for-venus-and-tannhauser,Art_Nouveau_Modern,excitement,6,3,0,https://uploads6.wikiart.org/images/aubrey-beardsley/frontispiece-for-venus-and-tannhauser.jpg,"it's a very detailed drawing. lots to look at. I find the black and white composition and dense floral pattern to be very engaging. Venus' face an hair are really arresting and different, and her Pan companions look intimidating and evil in contrast",Fear
yiannis-tsaroychis_tsamikos-dance-on-the-shore-1978,Naive_Art_Primitivism,sadness,5,7,1,https://uploads3.wikiart.org/images/yiannis-tsaroychis/tsamikos-dance-on-the-shore-1978.jpg,This reminds me of ancient Egypt with the slaves. It's a sad feeling to see men being oppressed. The colors help achieve this as well. this picture reminds me of the slavery in past few centuries This poses of the people make it look as if they are being tortured,Sadness
joshua-reynolds_david-garrick-between-tragedy-and-comedy-1761(1),Rococo,amusement,5,0,0,https://uploads7.wikiart.org/images/joshua-reynolds/david-garrick-between-tragedy-and-comedy-1761(1).jpg,"the story this painting shows is very funny the look on the blonde woman's face is priceless. she looks like the cat that got the canary The painting makes me laugh a little, with look of the man.",Amusement
tsukioka-yoshitoshi_looking-refined-a-court-lady-of-the-kyowa-era,Ukiyo_e,awe,5,1,0,https://uploads8.wikiart.org/images/tsukioka-yoshitoshi/looking-refined-a-court-lady-of-the-kyowa-era.jpg,The art is very detailed and refined. The red colors are so vibrant and the whole painting brings a culture to life.,Amusement
viktor-vasnetsov_crucifixion-1904,Symbolism,sadness,10,7,1,https://uploads3.wikiart.org/images/viktor-vasnetsov/crucifixion-1904.jpg,"Everybody is looking sad while watching Jesus dying on the cross. Christ dying surronded by sadness and followers The dark scene seems to show the sadness of what has happened to a man and the pain it caused him. This makes me feel sad, disgust, and awe at the same time, as well as love and appreciation for my savior's sacrifice. The darkish red colors of attire and almost naked bodies hanging from the crosses gives them impression of doom. The death of Jesus on the cross is very sad. The people cry with sorrow to see the man on the cross.",Sadness
anthony-van-dyck_head-of-a-robber-1618,Baroque,fear,5,6,1,https://uploads8.wikiart.org/images/anthony-van-dyck/head-of-a-robber-1618.jpg,It looks like the man is in pain or has been injured judging by the look on his face. I am concerned by the anguish in the subject's face.,
jamie-wyeth_the-red-house-1972,Contemporary_Realism,fear,5,6,1,https://uploads0.wikiart.org/images/jamie-wyeth/the-red-house-1972.jpg,"the birds make it seem scary The sky and the swarming birds make me feel fear that a storm is brewing. The house is dark enough to feel uneasy, the birds seems to be attacking.",Fear
fernand-khnopff_baroness-fernand-van-der-bruggen-1900,Symbolism,sadness,5,7,1,https://uploads5.wikiart.org/images/fernand-khnopff/baroness-fernand-van-der-bruggen-1900.jpg,"The woman’s body just seems to fade away into nothingness at the bottom of the painting. I feel sadness because of the bland and almost transparent look of the image, but also because the person in the image does not look happy and instead looks like he/she is just enduring something. The clouded color clouding the woman's face make me think that she is fading away",Sadness
umberto-boccioni_pianist-and-listener-1908,Expressionism,fear,5,6,1,https://uploads3.wikiart.org/images/umberto-boccioni/pianist-and-listener-1908.jpg,The man sitting across the table has a furious expression on his face I do not like the look on that person's face. It makes me very uncomfortable. the man at the piano looks very dangerous and scary. The pianist's face looks creepy with his black eyes and hard stare. the look on the man's face playing the piano is very unsettling,Anger
leon-bakst_helene-de-sparte-set-design-1912,Art_Nouveau_Modern,contentment,6,2,0,https://uploads4.wikiart.org/images/leon-bakst/helene-de-sparte-set-design-1912.jpg,"This is fairly neutral in tones and shows what seems to me to be a relaxing place to be. I like the antique look and feel it gives. The colors are very bright, and the sky has a noticeable pattern on it.",Amusement
billy-apple_photo-of-billy-apple-1964,Pop_Art,awe,5,1,0,https://uploads7.wikiart.org/images/billy-apple/photo-of-billy-apple-1964.jpg,because the painting looks so life like,Disgust
odilon-redon_portrait-of-the-marquis-de-gonet-1907,Symbolism,contentment,6,2,0,https://uploads2.wikiart.org/images/odilon-redon/portrait-of-the-marquis-de-gonet-1907.jpg,"The blue dress contrast the white in the painting. Not a lot of detail, but the nose and hair are compelling. i like the use of color around the clothes and the technique to depict textures. the hair looks really well done as well the woman in the painting has a sort of motherly feel to her which puts you at ease. Her facial expression is relaxed and she has flowers to the right of her",Contentment
paul-gauguin_washerwomen-at-pont-aven-1886,Post_Impressionism,contentment,5,2,0,https://uploads3.wikiart.org/images/paul-gauguin/washerwomen-at-pont-aven-1886.jpg,"The house is hidden behind trees and it is in a safe location. a small stone house with a blue roof near the water Its' a simple cottage in a serene location. This cottage looks like a great place to live peacefully in nature. That house in the sunlit country is inviting and peaceful,",Contentment
kuzma-petrov-vodkin_shah-i-zinda-1921,Symbolism,contentment,5,2,0,https://uploads7.wikiart.org/images/kuzma-petrov-vodkin/shah-i-zinda-1921.jpg,"The little Spanish boy who is staring at the sky seems to be lost outside of his village that is made of stone. The vibrancy of the live boy contrasts with the pastel shades of the grand buildings in the distance. a calm person standing in front of a beautiful building, bright cheerful reds and yellows",Contentment
claude-monet_camille-monet-in-the-garden,Impressionism,contentment,6,2,0,https://uploads1.wikiart.org/images/claude-monet/camille-monet-in-the-garden.jpg,"This image makes me feel calm and happy with all the flowers and the nicely dressed individuals. Looks like a comfy, bright afternoon and the people seem very relaxed.",Contentment
ferdinand-hodler_jenenser-student-1908,Art_Nouveau_Modern,contentment,5,2,0,https://uploads8.wikiart.org/images/ferdinand-hodler/jenenser-student-1908.jpg,"simple painting of a gentlemen getting dressed in his finest The character looks cool in his outfit and carries a swagger that breaths ease the action of a man putting on his coat is pleasant The way he is puts on the coat makes me feel like he is a working man ready to take on a challenge, which I can relate to.",Contentment
odilon-redon_bouquet-of-flowers-1,Realism,contentment,10,2,0,https://uploads3.wikiart.org/images/odilon-redon/bouquet-of-flowers-1.jpg,"The colors of the flowers coming out of the vase are very satisfying to behold. I like the detail of all the flowers and how you can see each one seperatly, but also as a boquet. Bright colors make this still life look interesting, but the vase looks plain. One of the white flowers almost seems to be smiling. A flagrant bunch of flowers that puts you in a good mood",Amusement
helen-frankenthaler_untitled-1965,Color_Field_Painting,amusement,5,0,0,https://uploads3.wikiart.org/images/helen-frankenthaler/untitled-1965.jpg,The use of three colors resembles that of a child play toy. The use of three colors resembles that of a child play toy. This looks like a pizza with big blueberries and lemon peels for the toppings. This looks like a pizza with big blueberries and lemon peels for the toppings. the simple lines and repeated circles remind me of a children's painting the simple lines and repeated circles remind me of a children's painting I do not know what this is exactly but I kinda like it. I like the blue and yellow pom pom style circles but not sure what they are in. I do not know what this is exactly but I kinda like it. I like the blue and yellow pom pom style circles but not sure what they are in.,Amusement
maria-primachenko_black-monkey-1936,Naive_Art_Primitivism,amusement,5,0,0,https://uploads5.wikiart.org/images/maria-primachenko/black-monkey-1936.jpg,"The colors and spacing remind me of a quilt or fabric sample. It's colorful and fun and silly. Makes me happy. I cannot tell what type of animal this is, but it looks incredibly hilarious. This looks like a designer bag patterned monkey",Amusement
lorenzo-lotto_st-dominic-polyptych,High_Renaissance,awe,6,1,0,https://uploads4.wikiart.org/images/lorenzo-lotto/st-dominic-polyptych.jpg,"Baby Jesus and Mary are being praised and worshiped. This looks like a stained glass window scene that I used to look at all the time in the church I went to as a kid. This looks like a holy, religious item.",Awe
mary-cassatt_profile-of-an-italian-woman,Impressionism,awe,5,1,0,https://uploads1.wikiart.org/images/mary-cassatt/profile-of-an-italian-woman.jpg,"This amazing as I think it is a watercolour and the detail of the face is amazing yet the clothes are made up of broader strokes but still convey the clothes. The woman is really elegant since she's wearing a kimono I wonder what has caught the females eye, and if her hands are going to be painted",Excitement
wu-guanzhong_a-fishing-harbour-1991,Post_Impressionism,contentment,5,2,0,https://uploads5.wikiart.org/images/wu-guanzhong/a-fishing-harbour-1991.jpg,"Its an exciting regatta in a cold autumn sea, feels rocky and cold. The composition is interesting and successfully evokes the feel of an ocean even without color.",Amusement
robert-silvers_marilyn-monroe,Pop_Art,sadness,5,7,1,https://uploads8.wikiart.org/images/robert-silvers/marilyn-monroe.jpg,"The picture of Marilyn Monroe is sad because of how she lived and died. The picture is all in black and white, her eyebrow liner looks clownish and fake and her smile looks forced, like it's not real. Seeing her happy face and knowing what she went through and how she died young is sad",Sadness
john-french-sloan_my-wife-in-blue-1917,New_Realism,contentment,5,2,0,https://uploads8.wikiart.org/images/john-french-sloan/my-wife-in-blue-1917.jpg,The woman looks comfortable and happy in her home. This is a pleasant portrait of a relaxed woman,Contentment
vincent-van-gogh_the-langlois-bridge-at-arles-1888,Post_Impressionism,contentment,5,2,0,https://uploads2.wikiart.org/images/vincent-van-gogh/the-langlois-bridge-at-arles-1888.jpg,"The open field is quite beautiful and I find the relaxing nature of the figures walking to be quite nice. The couple walking down the road seem to be happy looking into the distance. I like the simple design of the painting it reminds me of the past and living a simple life in the country side. It looks like a nice, breezy day by a bridge",Contentment
lorenzo-lotto_portrait-of-a-jeweler-possibly-giovanni-pietro-crivelli,High_Renaissance,contentment,5,2,0,https://uploads3.wikiart.org/images/lorenzo-lotto/portrait-of-a-jeweler-possibly-giovanni-pietro-crivelli.jpg,It feels strangely calming. This man looks religious and content in his life.,Amusement
henri-edmond-cross_toulon-winter-morning-1907,Pointillism,contentment,5,2,0,https://uploads6.wikiart.org/images/henri-edmond-cross/toulon-winter-morning-1907.jpg,The pastel colors are calming and the ocean with the mountains in the background are serene. The pastel colors are calming and the ocean with the mountains in the background are serene. the contrasting colors in the water are relaxing the contrasting colors in the water are relaxing I feel content and perhaps neutral with this photo. The color scheme is calm but I feel some distance between the water and the ships. I feel content and perhaps neutral with this photo. The color scheme is calm but I feel some distance between the water and the ships.,Contentment
gil-teixeira-lopes_cones-enigm-ticos-ii,Color_Field_Painting,fear,5,6,1,https://uploads0.wikiart.org/images/gil-teixeira-lopes/cones-enigm-ticos-ii.jpg,The orange drips look like blood and the people look scared Not sure if the adults are going to help or hurt the child The drips of the red paint makes it look like blood is running down.,Fear
fra-angelico_crucifixion-and-saints-1442,Early_Renaissance,sadness,6,7,1,https://uploads1.wikiart.org/images/fra-angelico/crucifixion-and-saints-1442.jpg,"These men are suffering and dying.  Being crucified is a horrific way to die. Watching loved ones die is always sorrowful.  But even in this darkest hour, colors still bring warmth to the viewer. This is not an accurate depiction, and I hate that they have made an idol out of the crucifying of Christ. Three people being tortured and much sadness and grief seen in the onlookers. Seeing three people being crucified nearly naked is not the most happiest sight.",Sadness
vincent-van-gogh_six-sketches-of-figures-among-others-a-man-sowing-wheat-1890,Post_Impressionism,fear,5,6,1,https://uploads2.wikiart.org/images/vincent-van-gogh/six-sketches-of-figures-among-others-a-man-sowing-wheat-1890.jpg,The posture seems angry and appears to want to fight. This makes me feel fearful because of the different poses of the same man.,Amusement
thomas-theodor-heine_the-two-dachshunds-1906,Art_Nouveau_Modern,amusement,5,0,0,https://uploads5.wikiart.org/images/thomas-theodor-heine/the-two-dachshunds-1906.jpg,"Flag symbol of the country called dog lovers.where dogs have more rights than human. Such happy looking puppies, this makes me feel optimistic and happy. The two dogs hugging a heart shaped vase is rather hiarious for me.",Amusement
edward-hopper_bistro,New_Realism,contentment,6,2,0,https://uploads8.wikiart.org/images/edward-hopper/bistro.jpg,"the old friends have a nice chat after years It seems like a peacefil scene with people just enjoying their time together outdoors.  The weather ia nice, the sea is calm.  There is a nice bridge in the background and what I assume is smoke from ships in the distance. A quiet afternoon spent in the company of a friend. Calm and peaceful. The expanse of street and sky makes ot calming.",Contentment
vincent-van-gogh_silhouette-of-a-peasant-woman-digging-carrots,Post_Impressionism,fear,5,6,1,https://uploads5.wikiart.org/images/vincent-van-gogh/silhouette-of-a-peasant-woman-digging-carrots.jpg,"The way this figure is hunched over with claw-like fingers is quite creepy While the individuals seems to be providing a regular act, the black form makes me feel a bit scared.",Fear
claude-monet_the-pond-at-montgeron,Impressionism,contentment,5,2,0,https://uploads4.wikiart.org/images/claude-monet/the-pond-at-montgeron.jpg,I want to fish in this pond with the person on the back. The way the got the trees to shine in the water. Perfect reflection of the trees in this little pond,Excitement
frans-snyders_fish-shop,Baroque,awe,5,1,0,https://uploads2.wikiart.org/images/frans-snyders/fish-shop.jpg,"it's just nice to see the woman cleaning fish but taking a second to look away to respond to the child The beautiful of realism in this image is very clear. I also love that there is a painting in the painting, allowing for a  bit of irony.",Contentment
carlo-crivelli_piet,Early_Renaissance,sadness,5,7,1,https://uploads7.wikiart.org/images/carlo-crivelli/piet.jpg,Looks like Jesus and grieving angels. The angels crying over Jesus dying in their hands. The details of the wounds and the cherub faces are grusome,Sadness
ralph-rosenborg_american-landscape-mountain-with-archaic-forms-1983,Abstract_Expressionism,excitement,6,3,0,https://uploads1.wikiart.org/images/ralph-rosenborg/american-landscape-mountain-with-archaic-forms-1983.jpg,The way the primary colors are blended makes me feel happy and energized. The bright and vibrant colours make the painting reminiscent of a party The colors are bright and flow together in a way the brings excitement. There are just enough soft clors (blue tones) to keep it from being to warm and bright.,Excitement
oskar-kokoschka_not_detected_235846,Expressionism,fear,5,6,1,https://uploads5.wikiart.org/images/oskar-kokoschka/not_detected_235846.jpg,"He looks like a monster, like Frankenstein but skinnier. This looks like a distorted painting of a prisoner, someone scary and dangerous.",Amusement
albrecht-durer_father-s-robe-god,Northern_Renaissance,fear,5,6,1,https://uploads2.wikiart.org/images/albrecht-durer/father-s-robe-god.jpg,There is a haunting quality to the folds of the garments without any human or animal forms inside. Looks like there could be something scary under the sheet,Amusement
francois-boucher_the-fountain-of-love-1748,Rococo,contentment,5,2,0,https://uploads3.wikiart.org/images/francois-boucher/the-fountain-of-love-1748.jpg,"The painting give a sense of relaxation and restfulness. I enjoy a good fete galante. I adore the Rococo. Kids, animals, music makes for a great day",Amusement
vincent-van-gogh_vegetable-gardens-in-montmartre-1887-1,Post_Impressionism,contentment,5,2,0,https://uploads7.wikiart.org/images/vincent-van-gogh/vegetable-gardens-in-montmartre-1887-1.jpg,"I see a small farm and my dream is to have my own small farm. The warm and rich colors presented by this impressionist view of a countryside farm provides a relaxing scene for the viewer. The farmer is being very productive, harvesting crops to sell the colors of the fields are vivid and lifelike",Contentment
henk-peeters_untitled-1,Minimalism,sadness,5,7,1,https://uploads2.wikiart.org/images/henk-peeters/untitled-1.jpg,The colors are muted and remind me of a funeral for some reason The grayish yellow background feels cold and unfriendly,Amusement
orest-kiprensky_a-girl-with-flowing-hair-baby-s-head-1807,Romanticism,contentment,5,2,0,https://uploads0.wikiart.org/images/orest-kiprensky/a-girl-with-flowing-hair-baby-s-head-1807.jpg,"The baby on the right grew up to be the girl on the left, a young girl with a lovely nose. The expressions of the individuals are quite lovely and their facial expressions are quite interesting. The details of the two faces mimic each other but are of different ages.",Amusement
gustave-courbet_frankfurt,Realism,contentment,5,2,0,https://uploads4.wikiart.org/images/gustave-courbet/frankfurt.jpg,There aren't many clouds in the sky. It is peaceful. The sunset shadowing the town and reflecting off of the lake makes for a beautiful view. The scene in a European city achieves serenity with calm water and a pleasant sky.,Contentment
william-merritt-chase_still-life-with-flowers,Impressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/william-merritt-chase/still-life-with-flowers.jpg,"The multicolored background looks like birds and flowers, it's pretty. The matching colors on the vase with the background looks pleasant and like it belongs there.",Amusement
john-hoppner_portrait-of-mademoiselle-hilligsberg-1791,Romanticism,contentment,5,2,0,https://uploads6.wikiart.org/images/john-hoppner/portrait-of-mademoiselle-hilligsberg-1791.jpg,"A young,tall women ,dancing happily to her favarouite music and enjoying. This lady looks content with the look on her face and she is wearing her dress with confidence.",Amusement
francisco-goya_here-comes-the-bogey-man-1799,Romanticism,fear,5,6,1,https://uploads5.wikiart.org/images/francisco-goya/here-comes-the-bogey-man-1799.jpg,"This painting scares me in terms of its use of light and shadow, and the figure looks intimidating. The hooded person and the look in the mother and her children's faces is very frightening.",Amusement
camille-pissarro_a-cottage-in-the-snow-1879,Impressionism,contentment,5,2,0,https://uploads4.wikiart.org/images/camille-pissarro/a-cottage-in-the-snow-1879.jpg,"The lit blue sky and rounded snow-capped bushes give this countryside a serene look. The man looks like he's walked away from the houses before anyone is awake, and he's seeking out nature in the small area left by the town and houses. this seems like a cold snowy day in a quiet town.",Contentment
edvard-munch_sister-inger-1884,Impressionism,contentment,5,2,0,https://uploads0.wikiart.org/images/edvard-munch/sister-inger-1884.jpg,"I love how the woman appears to disappear into the blackness of the backdrop. She appears so lovely and self-conscious. Clothing and background blend together, so the face and hands are nicley highlighted.",Amusement
gulacsy-lajos_magic-1907,Symbolism,excitement,5,3,0,https://uploads3.wikiart.org/images/gulacsy-lajos/magic-1907.jpg,this is the start of some sex coming on as the couple embraces under an abstract orange tree the figures both seem to be in a pleasant attunement,Excitement
hans-baldung_the-flood-1516,Northern_Renaissance,fear,5,6,1,https://uploads6.wikiart.org/images/hans-baldung/the-flood-1516.jpg,"the people seem to be struggling and fighting to get up and out. The dark cloud above is very ominous Adult, children, and animals struggle in the sea clinging to some sort of boat. The black clouds with one shaft of golden light coming from above suggest this is a divine disaster, a terrifying thought. The people have anguished looks on their faces and they appear to be trying to climb into the box that is ascending to the heavens.",Amusement
carlo-crivelli_crucifixion,Early_Renaissance,sadness,6,7,1,https://uploads5.wikiart.org/images/carlo-crivelli/crucifixion.jpg,"This makes me feel sad because it shows a punishment. Crucifixion is terrible way to die. Besides the religious implacarions, the anguish on the angles faces and the ways even the colors are muted give the painting a sad feeling.",Amusement
juan-gris_portrait-of-a-man-1923,Cubism,amusement,5,0,0,https://uploads2.wikiart.org/images/juan-gris/portrait-of-a-man-1923.jpg,The face looks like a folded piece of cardboard and the curl over the eye looks somewhat playful. The Piccolo animation that is offset by warm colors in the background gives a strong and powerful piece of artwork that I would love to own. The blockiness of this figure reminds me of a LEGO figure.,Anger
edouard-vuillard_the-striped-blouse,Post_Impressionism,disgust,5,5,1,https://uploads5.wikiart.org/images/edouard-vuillard/the-striped-blouse.jpg,the overpowering yellow that takes over the photo makes her skin look sickly It's an ugly painting. It's sloppy and the colors are all faded.,Disgust
camille-pissarro_weeders-1882,Impressionism,contentment,5,2,0,https://uploads8.wikiart.org/images/camille-pissarro/weeders-1882.jpg,The major color in this painting (green) makes me feel ease and calm The men doing the work in the bright green field I appreciate he washed out theme used everywhere; from faces to the grass being picked.,Amusement
koloman-moser_design-of-100-crowns-bill-1910,Art_Nouveau_Modern,amusement,6,0,0,https://uploads5.wikiart.org/images/koloman-moser/design-of-100-crowns-bill-1910.jpg,This woman's face reminds me of self absorbed women on instagram. The figure is literally staring down her nose at the viewer. The blue colors and the look on the woman's face I find amusing.,Amusement
jean-francois-millet_haystacks-autumn-1873,Realism,fear,6,6,1,https://uploads3.wikiart.org/images/jean-francois-millet/haystacks-autumn-1873.jpg,"The clouds are so dark it looks like they could bring a storm with strong enough winds to blow those hay stacks over. The clouds make it look omnimous. There are so many sheep in the field that they must have overtaken the whole field The clouds make me worried that a storm or a tornado is coming. Heavy dark storm clouds are rolling in, threatening the lives of these sheep",Fear
henry-raeburn_portrait-of-janet-dundas,Romanticism,contentment,5,2,0,https://uploads8.wikiart.org/images/henry-raeburn/portrait-of-janet-dundas.jpg,The woman has a pleasing disposition of comfort. The earthy tones add an element of contentment and the subject appears warm and tender. The painting i represents a peaceful day as the lady is posing and being so relaxed while she is having her portrait painted.,Contentment
konstantin-bogaevsky_landscape-with-castle-1912,Symbolism,excitement,6,3,0,https://uploads8.wikiart.org/images/konstantin-bogaevsky/landscape-with-castle-1912.jpg,The horizontal brush strokes mixed with the dark shadows gives a sense of movement and excitement of the nature that is alive in this picture. This looks like a painting you can jump into and explore,Excitement
raphael-kirchner_girls-with-animals-1901-2,Art_Nouveau_Modern,contentment,5,2,0,https://uploads3.wikiart.org/images/raphael-kirchner/girls-with-animals-1901-2.jpg,This woman looks like she is enjoying life and enjoying hanging with a bunny which is wonderful that she is having a good life This reminds me of a historic document used to write a document based essay in high school.,Contentment
david-teniers-the-younger_interior-with-a-gentleman-playing-a-lute-and-a-lady-singing,Baroque,contentment,5,2,0,https://uploads1.wikiart.org/images/david-teniers-the-younger/interior-with-a-gentleman-playing-a-lute-and-a-lady-singing.jpg,the lady in black is respectful The people in the painting are happily going on about their regular daily activities. Everyone is doing what they love captured in a moment,Contentment
joan-snyder_landscape-1970,Abstract_Expressionism,anger,6,4,1,https://uploads5.wikiart.org/images/joan-snyder/landscape-1970.jpg,I would love this painting but the writing on it ruins it for me. I love the colors. It's a shame. I do not like the red and the whole things seems like nonsense.,Disgust
piero-dorazio_cercles-de-nuit-1992,Color_Field_Painting,contentment,5,2,0,https://uploads4.wikiart.org/images/piero-dorazio/cercles-de-nuit-1992.jpg,"Love the colors, the calm blue background, and bright swirls. No black to drag it down. Perfect. Love the colors, the calm blue background, and bright swirls. No black to drag it down. Perfect. looking at the bubbles forming and popping in my soda looking at the bubbles forming and popping in my soda The swirls and complimentary colors make it look like roses almost, which is cool. The swirls and complimentary colors make it look like roses almost, which is cool.",Amusement
mikhail-vrubel_yellow-roses-1894,Symbolism,awe,6,1,0,https://uploads2.wikiart.org/images/mikhail-vrubel/yellow-roses-1894.jpg,"The flowers are well drawn and lovely, I get a phantom smell of flowers looking at this. Amazing technique, really captures the essence of the roses and I really like the darker blues in the background The thick, cloudy sky behind the rose bush is beautiful.",Contentment
neil-welliver_untitled-night-scene-study,Contemporary_Realism,awe,5,1,0,https://uploads1.wikiart.org/images/neil-welliver/untitled-night-scene-study.jpg,"This abstract shows how small the world is. The landscape looks like a gorgeous winter evening, with grounds covered in snow. I can imagine the sounds of whistling winds and howling wolves.",Awe
hiro-yamagata_not-detected-272406,Pop_Art,amusement,5,0,0,https://uploads3.wikiart.org/images/hiro-yamagata/not-detected-272406.jpg,rice looks like its been thrown on the wrestlers it's funny looking. it makes me feel amused because the men are overweight and competing in a sport. the painting is of a great sumo wrestling match which is well done and very amusing to look at. it's well colored The comical knockout during a sumo match makes a smile.,Amusement
jean-francois-millet_death-and-the-woodcutter,Realism,fear,5,6,1,https://uploads6.wikiart.org/images/jean-francois-millet/death-and-the-woodcutter.jpg,"this man has a giant scythe like the grime reaper The blade on that weapon is fierce and looks like the guy kneeling on the ground has been struck by another weapon. The grim reaper is usually in a black robe, but this charecter is wearing an off white robe and is trying to take a different approach of being scary. The man appears to have been captured by the angel of death. I am concerned for his fate.",Fear
hans-memling_portrait-of-jacques-of-savoy-1470,Northern_Renaissance,amusement,6,0,0,https://uploads7.wikiart.org/images/hans-memling/portrait-of-jacques-of-savoy-1470.jpg,This man looks like a poofy haired poodle that is wearing a hat and some chains. Absolutely hilarious. The hat makes me laugh.  It just seems out of place. The trees behind the man look like broccoli crowns. this guy looks like he is holding in a fart,Amusement
aubrey-beardsley_a-child-at-its-mother-s-bed,Art_Nouveau_Modern,sadness,5,7,1,https://uploads5.wikiart.org/images/aubrey-beardsley/a-child-at-its-mother-s-bed.jpg,"because the boys mother looks like she can't leave bed The woman standing looks to be taking care of the woman lying on the bed, she looks sick. this makes me think the childs mother is sick and that's just scary to me this lacks color and anything else to make it pop, it has a sad/down feeling",Sadness
