painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_excitement_shot
joseph-wright_the-cloister-of-san-cosimato,Romanticism,contentment,5,2,0,https://uploads3.wikiart.org/images/joseph-wright/the-cloister-of-san-cosimato.jpg,This peaceful scene could come from a fairy tale. Such a beautiful scenic view makes you wonder about the beauty of nature. It would be beautiful to live in that house and cross over the river every day.,Contentment
michel-carrade_unknown-title-16,Color_Field_Painting,amusement,5,0,0,https://uploads1.wikiart.org/images/michel-carrade/unknown-title-16.jpg,The lines look like an old tv error screen,Excitement
allan-ramsay_portrait-of-william-colyear-viscount-milsington,Rococo,awe,5,1,0,https://uploads3.wikiart.org/images/allan-ramsay/portrait-of-william-colyear-viscount-milsington.jpg,A great leader I imagine. Serious face and fancy clothes The man is handsome and his red coat is very bright. The man's face and wardrobe suggest that he is regal and very important.,Awe
egon-schiele_sunflower-1908,Expressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/egon-schiele/sunflower-1908.jpg,"I like how the yellow flowers stand out against the dark green. The bold colors make me happy, it feels sunny. The flowers really make me feel at peace and are enjoyable to look at.",Contentment
paul-cezanne_the-lac-d-annecy-1896,Post_Impressionism,contentment,5,2,0,https://uploads4.wikiart.org/images/paul-cezanne/the-lac-d-annecy-1896.jpg,"Beautiful shades of blue are so pretty against the pavillion in the background looks like a peaceful place to spend a day The greens and blues, along with the glassy water, make this a calming scene. The blue and green colors of the lake and trees are bright and cheerful, and the open space on the lake is calming.",Contentment
claude-monet_flowers-in-a-vase,Impressionism,contentment,5,2,0,https://uploads0.wikiart.org/images/claude-monet/flowers-in-a-vase.jpg,a simple glass bulb vase holds the stems of lady slipper flowers I love the simplicity of this and the peach colored flowers. the red flowers are a nice contrast to the rest of the painting The peach color of the flowers is beautiful and the background blues and greens soothing.,Contentment
edgar-degas_dancers-in-a-studio,Impressionism,contentment,5,2,0,https://uploads1.wikiart.org/images/edgar-degas/dancers-in-a-studio.jpg,the young girl to the far left looks very focused on her dancing I love Degas ballet dancers and the soft colors i feel content watching these people work at and enjoy their selected craft or hobby,Contentment
francois-boucher_the-fountain-of-love-1748,Rococo,contentment,5,2,0,https://uploads3.wikiart.org/images/francois-boucher/the-fountain-of-love-1748.jpg,"The painting give a sense of relaxation and restfulness. I enjoy a good fete galante. I adore the Rococo. Kids, animals, music makes for a great day",Contentment
marc-chagall_portrait-of-artist-s-sister-aniuta-1910,Expressionism,contentment,5,2,0,https://uploads4.wikiart.org/images/marc-chagall/portrait-of-artist-s-sister-aniuta-1910.jpg,"This woman looks very stern and confident while staring straight into my eyes. The woman is dressed in colors of red, white and black.",Contentment
eduardo-paolozzi_dr-pepper-1948,Pop_Art,excitement,6,3,0,https://uploads1.wikiart.org/images/eduardo-paolozzi/dr-pepper-1948.jpg,"The mix of pictures looks crazy but exciting, ramdom things but happy feeling. All the scenes from the 40's, 50's and 60's seem to yell out thrilling The women in the artwork are quite sexy and pretty.",Excitement
gustave-caillebotte_landscape-near-yerres,Impressionism,awe,5,1,0,https://uploads2.wikiart.org/images/gustave-caillebotte/landscape-near-yerres.jpg,"This looks like a beautiful spring day, where you can walk in solitude and watch the flowers grow. I love the slightly overlooking view of the garden area. The blossoming flowers give me a sense of hope and appreciation for summer and life.",Contentment
rembrandt_self-portrait-in-a-fur-cap-bust-1630,Baroque,amusement,5,0,0,https://uploads7.wikiart.org/images/rembrandt/self-portrait-in-a-fur-cap-bust-1630.jpg,I like the sketched effect on his hat with all the curlicues and zig-zags. It's amazing how this piece was drawn with just squiggly lines,Amusement
henri-martin_view-of-the-terrasse-de-marquayrol-labastide-du-vert-1935,Pointillism,contentment,5,2,0,https://uploads4.wikiart.org/images/henri-martin/view-of-the-terrasse-de-marquayrol-labastide-du-vert-1935.jpg,"This village is tucked away in a forest and is a great place to vacation. a nice village nestled in the woods makes me happy It looks like a peaceful, pretty village. The little houses painted in this village of them with thier smoke surrounded by a green forest is cozy and full of contentment.",Contentment
camille-pissarro_street-winter-sunlight-and-snow,Impressionism,contentment,5,2,0,https://uploads0.wikiart.org/images/camille-pissarro/street-winter-sunlight-and-snow.jpg,"Its evocative of an early spring day, its chilly but getting warmer. You can imagine the mud around the woman's ankle boots. Looks like New England on a cold winter's day. I like this picture of a winter scene, it looks cold and crisp - it could be outside my house 200 years ago!",Contentment
