painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_sadness_shot
fernando-botero_self-portrait-as-spanish-conquistador,Naive_Art_Primitivism,amusement,6,0,0,https://uploads5.wikiart.org/images/fernando-botero/self-portrait-as-spanish-conquistador.jpg,"The way the man's body is shaped and it's proportions makes me feel amused. Looks like a caricature and it's kinda funny. This fat guy is hilarious. Those body proportions are off in a comical way. Those big legs and small head are making me chuckle. The proportions are ridiculous. I'm not sure if this guy is posing or painting, but his appearance is amusing.",Amusement
anthony-van-dyck_head-of-a-robber-1618,Baroque,fear,5,6,1,https://uploads8.wikiart.org/images/anthony-van-dyck/head-of-a-robber-1618.jpg,It looks like the man is in pain or has been injured judging by the look on his face. I am concerned by the anguish in the subject's face.,Sadness
mikhail-vrubel_head-of-demon-1,Symbolism,fear,6,6,1,https://uploads0.wikiart.org/images/mikhail-vrubel/head-of-demon-1.jpg,"I am a bit unnerved by the rock that looks like a face. This completely grey and black sketch of a pouty woman makes me feel like she is about to take her life. It feels depressing through and through. The transparency of the woman is ghostlike, her expression stern. The woman looks scary and almost as if she is possessed.",Sadness
morris-louis_k-s-i-1959,Color_Field_Painting,amusement,5,0,0,https://uploads2.wikiart.org/images/morris-louis/k-s-i-1959.jpg,"This one kind of made me laugh right off the bat, it looks like a v-neck shirt, very low cut. The colors look like a rainbow.  I am curious who did this as it looks like it could a grade school art project.",Amusement
camille-corot_the-happy-isle,Realism,fear,5,6,1,https://uploads7.wikiart.org/images/camille-corot/the-happy-isle.jpg,A beautiful scene but in the shadows a scary scene lurks. There seems to be something a little dangerous about this painting. There is just something a little poisonous about it.,Fear
eduardo-paolozzi_i-was-a-rich-man-s-plaything-1947,Pop_Art,amusement,5,0,0,https://uploads2.wikiart.org/images/eduardo-paolozzi/i-was-a-rich-man-s-plaything-1947.jpg,"The writing is funny for this day and age and the image of the woman as being racy is funny because in 2020 it would just be a regular ad and not racy. i'm not sure how this is meant to be art, but it is fun to look at It makes me wonder where a military man during that time would hang this up in the barracks",Amusement
jacopo-pontormo_halberdier,Mannerism_Late_Renaissance,sadness,5,7,1,https://uploads5.wikiart.org/images/jacopo-pontormo/halberdier.jpg,"The person looks upset about something, like they are about to cry His expression is sorrowful.",Sadness
paul-cezanne_apples-and-oranges,Post_Impressionism,contentment,5,2,0,https://uploads1.wikiart.org/images/paul-cezanne/apples-and-oranges.jpg,"I really like all the different shades of color on this and how the table cloth really looks folder and has textures. It's just very good work and reminds me of being a kid in my house. The warm hues of the orange and the palpable softness of the cloth. The fruit is so round and bright, the fabric looks soft and comfy. fresh fruits to eat its delicious and comforting",Contentment
claude-monet_the-garden-at-vetheuil-1881,Impressionism,contentment,5,2,0,https://uploads1.wikiart.org/images/claude-monet/the-garden-at-vetheuil-1881.jpg,The orange flowers look happy under a clear blue sky. The flowers and sunshine make me think of summer and hummingbirds I could see myself walking through this field on a summer day. A feel of summer with the pops of orange like sunflowers among st the green of plants and bushes I believe this is an Impressionist painting designed to make the viewer happy to look at the flowers and the blue sky.,Contentment
august-macke_our-street-with-horse-riding-bonn,Expressionism,sadness,5,7,1,https://uploads7.wikiart.org/images/august-macke/our-street-with-horse-riding-bonn.jpg,this looks like a boring dystopia with nothing interesting and people who are bored with their lives The buildings' lack of detail makes them look depressing.,Sadness
allan-ramsay_portrait-of-sir-john-hynde-cotton-3rd-bt,Rococo,contentment,5,2,0,https://uploads5.wikiart.org/images/allan-ramsay/portrait-of-sir-john-hynde-cotton-3rd-bt.jpg,The calmness of the subject's face makes me feel at ease. the portrait expresses confidence and is upbeat calm and well dressed,Contentment
pierre-auguste-renoir_head-of-a-dog-1870,Impressionism,awe,5,1,0,https://uploads1.wikiart.org/images/pierre-auguste-renoir/head-of-a-dog-1870.jpg,I love the shades of brown used to show texture coloring on the ears of this little dog. The color with a bell stands out. I bet this dogs name is BellaAnna. This beautiful painting is a realistic painting of a dog wearing a bell on his collar.,Contentment
diego-velazquez_the-waterseller-of-seville-1623,Baroque,contentment,6,2,0,https://uploads8.wikiart.org/images/diego-velazquez/the-waterseller-of-seville-1623.jpg,"The clearness and the expressions on their faces shows a lot of detail. Son of a winemaker trying a sip of the vintage, I never had a dad that would teach me about this stuff.",Amusement
felicien-rops_tienne-soubre,Symbolism,amusement,6,0,0,https://uploads6.wikiart.org/images/felicien-rops/tienne-soubre.jpg,"The head is ridiculously large and the legs are skinny and thin. This sort of art has a whimsical appeal to it, it's kind of fun. Those comedy drawing always amuse me, great sense of humor. Head/legs are satirically out of proportion. The subject’s head is dramatically exaggerated The character looks funny.",Amusement
bela-czobel_painters-outdoor-1906,Post_Impressionism,amusement,5,0,0,https://uploads3.wikiart.org/images/bela-czobel/painters-outdoor-1906.jpg,I find the use of colors and brush strokes whimsical and fun.  I like the use of the different colors. Looks like a nice day painting inthe backyard with grand daddy. I feel amused by a painting depicting painters creating paintings with similar colors and styles.,Amusement
henri-rousseau_the-poultry-yard-1898,Naive_Art_Primitivism,fear,5,6,1,https://uploads6.wikiart.org/images/henri-rousseau/the-poultry-yard-1898.jpg,A thunderstorm is coming. The people are looking to see how close it is and is wondering what to do next. The dark clouds evoke a sense of foreboding and fear in me for the people in the painting.,Fear
piero-dorazio_cercles-de-nuit-1992,Color_Field_Painting,contentment,5,2,0,https://uploads4.wikiart.org/images/piero-dorazio/cercles-de-nuit-1992.jpg,"Love the colors, the calm blue background, and bright swirls. No black to drag it down. Perfect. Love the colors, the calm blue background, and bright swirls. No black to drag it down. Perfect. looking at the bubbles forming and popping in my soda looking at the bubbles forming and popping in my soda The swirls and complimentary colors make it look like roses almost, which is cool. The swirls and complimentary colors make it look like roses almost, which is cool.",Amusement
mary-fedden_man-with-zebra-1988,Post_Impressionism,contentment,6,2,0,https://uploads1.wikiart.org/images/mary-fedden/man-with-zebra-1988.jpg,This is a fairly simple light colored image and zebra and human.  Seems calming. The zebra trusts the human that is petting him. I really enjoy the way the white brightens up the figure next to the animal,Contentment
joshua-reynolds_david-garrick-between-tragedy-and-comedy-1761(1),Rococo,amusement,5,0,0,https://uploads7.wikiart.org/images/joshua-reynolds/david-garrick-between-tragedy-and-comedy-1761(1).jpg,"the story this painting shows is very funny the look on the blonde woman's face is priceless. she looks like the cat that got the canary The painting makes me laugh a little, with look of the man.",Amusement
