painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_awe_shot
gerrit-dou_still-life-with-a-boy-blowing-soap-bubbles-1636,Baroque,awe,5,1,0,https://uploads1.wikiart.org/images/gerrit-dou/still-life-with-a-boy-blowing-soap-bubbles-1636.jpg,"Simple setting, the picnic basket really stands out well This is a little too dark for my taste, but the level of realism in the painting makes me like it a lot.",Awe
henri-rousseau_notre-dame-view-of-the-ile-saint-louis-from-the-quai-henri-iv-1909,Naive_Art_Primitivism,contentment,5,2,0,https://uploads6.wikiart.org/images/henri-rousseau/notre-dame-view-of-the-ile-saint-louis-from-the-quai-henri-iv-1909.jpg,The red flag really stands out. a relaxing place to stop and enjoy the scenery. Looks like a beautiful place to be.,Contentment
john-crome_the-way-through-the-wood-1813,Romanticism,contentment,5,2,0,https://uploads1.wikiart.org/images/john-crome/the-way-through-the-wood-1813.jpg,the boy and his dog appear to be enjoying a walk out in the country a man and his dog walk the patway through the forest Oh this makes me yearn to go for a hike with my dogs.,Contentment
georges-braque_terrace-of-hotel-mistral-at-estaque-1907,Post_Impressionism,contentment,5,2,0,https://uploads7.wikiart.org/images/georges-braque/terrace-of-hotel-mistral-at-estaque-1907.jpg,"The painting is bland to me as it's not vibrant so it just makes me feeling okay about it. The orange and green color makes it look like Autumn. Plus, the shapes are clearly defined (not Impressionistic). The painting appears to be showing castle walls.  The art is doing this in a very unique and cartoonish way that I like. I enjoy the orange and golden colors used throughout the piece.",Contentment
vasily-polenov_christ-and-the-sinner-1885,Realism,fear,5,6,1,https://uploads2.wikiart.org/images/vasily-polenov/christ-and-the-sinner-1885.jpg,"Everyone in the painting seems very fearful of something that is going on in the center, which makes me scared the color is so dark and the scene is kinda weird",Fear
gustave-loiseau_at-the-coast-of-normandy-1909,Post_Impressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/gustave-loiseau/at-the-coast-of-normandy-1909.jpg,"This painting makes me feel as if I am sitting on the waters edge with the ocean breeze blowing. the blue reds and greens are blended quite nicely and it just looks settling the texture and light make me feel warm The clear sky, gentle colors and everyday scene have an air of peace and well-being. The style done with splotches of pain is pleasing due to is soft nature",Contentment
salvador-dali_portrait-of-st-jerome,Abstract_Expressionism,fear,5,6,1,https://uploads5.wikiart.org/images/salvador-dali/portrait-of-st-jerome.jpg,"The letter characters seem to be stabbing at the person At first glance, this picture looks quite majestic, but the look on the guy's face makes me think otherwise.",Fear
franz-stuck_angel-with-the-flaming-sword-1889,Symbolism,awe,5,1,0,https://uploads6.wikiart.org/images/franz-stuck/angel-with-the-flaming-sword-1889.jpg,"The angelic figure is holding what looks like a laser, which is awesome. The angel's open wings and strong muscles gives me a sense of religious wonder.",Awe
ion-andreescu_still-life,Impressionism,contentment,5,2,0,https://uploads3.wikiart.org/images/ion-andreescu/still-life.jpg,The basket and background vase compliment the vegetables on tabletop. A domestic still life includes a rustic basket and a variety of vegetables. A simple but pleasing painting. The vegetables here look good and stand out from each other well.,Contentment
gustave-loiseau_landscape,Post_Impressionism,contentment,5,2,0,https://uploads4.wikiart.org/images/gustave-loiseau/landscape.jpg,The lush green trees and the spire of the building rising into the calm cloudy sky make me feel content The vibrant greens in the trees contrasts well with the pale yellow sky. A beautiful countryside painting will always make me feel content.,Contentment
lucas-cranach-the-elder_portrait-of-a-young-woman,Northern_Renaissance,contentment,5,2,0,https://uploads1.wikiart.org/images/lucas-cranach-the-elder/portrait-of-a-young-woman.jpg,Her proportions seem very off which makes it seem distorted. The way the girls hands are crossed and the look on her face make her look at ease and content,Contentment
mikhail-vrubel_yellow-roses-1894,Symbolism,awe,6,1,0,https://uploads2.wikiart.org/images/mikhail-vrubel/yellow-roses-1894.jpg,"The flowers are well drawn and lovely, I get a phantom smell of flowers looking at this. Amazing technique, really captures the essence of the roses and I really like the darker blues in the background The thick, cloudy sky behind the rose bush is beautiful.",Contentment
vincent-van-gogh_couple-walking(1),Post_Impressionism,contentment,6,2,0,https://uploads4.wikiart.org/images/vincent-van-gogh/couple-walking(1).jpg,"The man is walking hand in hand with his wife down the path The woman and her husband are both wearing matching striped pants This drawing does not evoke a great deal of emotion. It appears to have two individuals, a mother and daughter possibly, walking. I have the impression they are going for a walk, or into down. The younger one is saying something to mom, maybe about a recent occurance. In any event, not a lot of emotion.",Contentment
camille-pissarro_a-square-in-la-roche-guyon,Realism,contentment,6,2,0,https://uploads4.wikiart.org/images/camille-pissarro/a-square-in-la-roche-guyon.jpg,"It reminds me of a quiet morning exploring the streets of a small town in europe This is a beautiful scene that reminds me of the old country The perspective of the buildings are very well done and its like looking into another world I'm walking along the quaint, quiet streets in Paris enjoying my day.",Contentment
camille-corot_road-through-wooded-mountains,Realism,contentment,5,2,0,https://uploads4.wikiart.org/images/camille-corot/road-through-wooded-mountains.jpg,The beautiful scenery is impressive in its three dimensional details and perspective The earthy colors depicting a calm meadow is relaxing I love the landscape aspect but the hue is something to be desired.,Contentment
edouard-manet_the-barricade-civil-war-1871,Realism,fear,5,6,1,https://uploads3.wikiart.org/images/edouard-manet/the-barricade-civil-war-1871.jpg,"The grey and beige colors, as well as the soldiers with guns are oppressive and cause fear. The bodies on the floor and guns in the soldiers hand made me feel death and fear",Fear
luca-signorelli_crucifixion-of-st-sepulchre,Early_Renaissance,awe,5,1,0,https://uploads4.wikiart.org/images/luca-signorelli/crucifixion-of-st-sepulchre.jpg,"everyone was sad because of the crufixion of Jesus The bright colors, details of the picture and the beautiful scene make me feel awe.",Awe
vincent-van-gogh_view-of-saintes-maries-1888,Post_Impressionism,contentment,5,2,0,https://uploads5.wikiart.org/images/vincent-van-gogh/view-of-saintes-maries-1888.jpg,"It's a nice field of herbs with a nice village in the background. This looks like a common, easy going day with someone working in the fields. Gorgeous rows of lavender flowers illuminate an adjacent village on a hill.",Contentment
hans-holbein-the-younger_portrait-of-thomas-cromwell,Northern_Renaissance,awe,5,1,0,https://uploads4.wikiart.org/images/hans-holbein-the-younger/portrait-of-thomas-cromwell.jpg,"The dark design on the dark background actually seems to be three dimensional. The clothing and facial features all came out well, Being able to see muscles and folds in the skin is very impressive but the colors are a bit dul and uninteresting.",Awe
