painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_fear_shot
eustache-le-sueur_the-virgin-and-child-with-saint-john-the-baptist,Baroque,contentment,5,2,0,https://uploads0.wikiart.org/images/eustache-le-sueur/the-virgin-and-child-with-saint-john-the-baptist.jpg,This picture is a little too pretty. But it is nice to look at. There just doesn't seem to be a lot under the surface. I love babies and the chunky baby boy has a very cute face. I love the way the facial expressions show so much depth of emotion. There is such an inquisitive expression of the young boy examining the baby. The mothers face is so soft and content. These ethereal entities seem to be compassionately caring for this infant,Contentment
esaias-van-de-velde_flask-skaters-and-players-on-the-ice-in-the-farmyards,Baroque,contentment,5,2,0,https://uploads7.wikiart.org/images/esaias-van-de-velde/flask-skaters-and-players-on-the-ice-in-the-farmyards.jpg,This etching shows clean lines and amazing sense of detail the rural scene seems very calm and like it's just a normal day The makes me think of people before the industrial revolution living a fullfilling life the people in the portirat seem to be doing normal everyday tasks as a farmer,Contentment
vincent-van-gogh_standing-female-nude-seen-from-the-front-1886,Post_Impressionism,awe,5,1,0,https://uploads5.wikiart.org/images/vincent-van-gogh/standing-female-nude-seen-from-the-front-1886.jpg,"The woman seems very confident to pose in such a way while nude. The woman looks like a goddess since she's holding her arms out high love the skin tone in this work, that the rose tone adds warmth",Amusement
hans-memling_crucifixion-1491,Northern_Renaissance,sadness,5,7,1,https://uploads8.wikiart.org/images/hans-memling/crucifixion-1491.jpg,"This reminds me of the terrible things that human beings can and do do to one another It looks like the crucifixion of Jesus Christ, a pretty sad day indeed. No one is helping any of the men come down from the crosses The three men are being executed, one for crimes He never committed.",Sadness
agnes-martin_happy-valley-1967,Minimalism,contentment,5,2,0,https://uploads0.wikiart.org/images/agnes-martin/happy-valley-1967.jpg,The scene is very plain and inactive Something about the completely blank canvas makes me feel calm and happy. It is a fresh start,Contentment
pablo-picasso_glass-and-bottle-of-bass-1914,Synthetic_Cubism,contentment,5,2,0,https://uploads4.wikiart.org/images/pablo-picasso/glass-and-bottle-of-bass-1914.jpg,The mix of yellow and black is very pleasing to the eyes. The subjects and the frame make me think of a long gone era,Contentment
frans-snyders_still-life-with-fruit-basket-and-game,Baroque,disgust,5,5,1,https://uploads3.wikiart.org/images/frans-snyders/still-life-with-fruit-basket-and-game.jpg,"A pile of dead animals, even if they are to be eventually used as food, isn't pleasing as a work of art. The dark colors make it even less appealing. The depiction of dead animals being on a table so close to a basket of food makes me think of disease and very unsanitary conditions.",Disgust
vincent-van-gogh_vase-with-red-gladioli-1886,Post_Impressionism,awe,5,1,0,https://uploads5.wikiart.org/images/vincent-van-gogh/vase-with-red-gladioli-1886.jpg,The reds and oranges make this painting feel very warm and the flowers are beautiful and bright. Red flowers look like feathers of a phoenix. The red is so bright that it looks like flames,Excitement
theo-van-rysselberghe_nude-from-behind-fixing-her-hair,Impressionism,excitement,5,3,0,https://uploads6.wikiart.org/images/theo-van-rysselberghe/nude-from-behind-fixing-her-hair.jpg,"A woman stands with her back to you, naked and ready to go. I am excited by the way theartist has covered the nude's body with splotches of different colors. the bright colors catch my attention right away I see a woman about to get ready for a night out",Excitement
frans-hals_mulatto-1627,Baroque,amusement,7,0,0,https://uploads2.wikiart.org/images/frans-hals/mulatto-1627.jpg,"that grin is great! Sly and playful looking playful looking face of a gentlemen, his simple is perfect This looks like an oil painting made for a movie starring Jack Black as a drunken American who just found out he's secret royalty. The humorous look on the mans face amuses me. The man's facial expression and smile looks happy and almost as if he is laughing.",Amusement
grandma-moses_christmas-at-home,Naive_Art_Primitivism,contentment,5,2,0,https://uploads1.wikiart.org/images/grandma-moses/christmas-at-home.jpg,"Because it looks like a nice Christmas party from a long time ago. I Don't celebrate christmas but have much appreciation for what the festive time the artist captures So successfully. Lovely colors The simple shapes and bright, vivid colors evokes a nostalgia for simpler times, for a childhood when I could bask in the uncomplicated joy of holidays with family. The whole family has come to spend the holidays with each other.",Contentment
amedeo-modigliani_rose-caryatid-audace-1913,Expressionism,disgust,6,5,1,https://uploads4.wikiart.org/images/amedeo-modigliani/rose-caryatid-audace-1913.jpg,The colors in this are so nasty. Naked human like creature feels uncomfortable to look at. The way this persons arms and legs are poisitioned make her look severely disfigured.,Disgust
camille-corot_the-happy-isle,Realism,fear,5,6,1,https://uploads7.wikiart.org/images/camille-corot/the-happy-isle.jpg,A beautiful scene but in the shadows a scary scene lurks. There seems to be something a little dangerous about this painting. There is just something a little poisonous about it.,Fear
eugene-boudin_the-beach-at-deauville-1863,Impressionism,contentment,5,2,0,https://uploads2.wikiart.org/images/eugene-boudin/the-beach-at-deauville-1863.jpg,"There is a beuatiful summer sky in this painting and it takes up over half ot the canvas. There are a few different groups spread out over a large expansive beach. I would love to go to an""empty"" beach like this. The sky is so calm it makes me feel relaxed and at ease here. I would like any day with a blue sky and clear water like this. This image makes me feel content because the image uses rich but muted colors and the contents of the image are soothing.",Contentment
anthony-van-dyck_head-of-a-robber-1618,Baroque,fear,5,6,1,https://uploads8.wikiart.org/images/anthony-van-dyck/head-of-a-robber-1618.jpg,It looks like the man is in pain or has been injured judging by the look on his face. I am concerned by the anguish in the subject's face.,Fear
mikhail-vrubel_hamlet-and-ophelia-1884,Symbolism,fear,5,6,1,https://uploads8.wikiart.org/images/mikhail-vrubel/hamlet-and-ophelia-1884.jpg,"the face of the man looks like it will open his eyes if you stare on it Both people in the painting have sinister expressions on their face, and the darkness seems to almost surround and pierce them. It is just creepy. The man has too different hands. The one on my left looks like it is made of wood and the hand of the woman not on the chair looks skeletal. The ghosts in the background don't help. The eyes of the sitting man seemed without pupils and the clear face of the woman shifted a bit over the unclear rest of it all makes it seem like a nightmare scene.",Fear
nicholas-roerich_monhigan-hope-1922,Symbolism,contentment,5,2,0,https://uploads5.wikiart.org/images/nicholas-roerich/monhigan-hope-1922.jpg,"Calm enough water that someone is standing on the boat in the dusk. It looks like a relaxing morning with only one ship setting sail, perhaps from some fishing village. It strikes me as the quiet life filled with people that live off the land. The purple at the horizon fading up into light. the cool palette calms my mind",
