painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_anger_shot
vincent-van-gogh_clumps-of-grass-1889(1),Post_Impressionism,contentment,5,2,0,https://uploads1.wikiart.org/images/vincent-van-gogh/clumps-of-grass-1889(1).jpg,The grass in the field looks like it's growing tall and strong The green plants look soft and pleasant to touch. The bright green colors make the grass look like the sun is shining down.,Contentment
aldo-mondino_collage-1973,Pop_Art,amusement,6,0,0,https://uploads4.wikiart.org/images/aldo-mondino/collage-1973.jpg,The color contast The bright colors make me happy. The simplicity and colors of the painting give it a sense of playfulness,Amusement
carlo-crivelli_crucifixion,Early_Renaissance,sadness,6,7,1,https://uploads5.wikiart.org/images/carlo-crivelli/crucifixion.jpg,"This makes me feel sad because it shows a punishment. Crucifixion is terrible way to die. Besides the religious implacarions, the anguish on the angles faces and the ways even the colors are muted give the painting a sad feeling.",Sadness
theodore-rousseau_a-hilly-landscape-in-auvergne-1831,Realism,contentment,5,2,0,https://uploads4.wikiart.org/images/theodore-rousseau/a-hilly-landscape-in-auvergne-1831.jpg,"It makes me feel like I'd like to be in the picture. It's natural and open. It seems so peaceful. the earth tones and lush greens look like a cool sunny day. The house is nestled among the hills on green, fertile looking soil, creating a sense of comfort and security.",Contentment
agostino-carracci_jupiter-and-juno,Baroque,disgust,5,5,1,https://uploads4.wikiart.org/images/agostino-carracci/jupiter-and-juno.jpg,I can see genitals That man is way to old for her.,Disgust
janos-mattis-teutsch_yellow-landscape-1918,Fauvism,contentment,5,2,0,https://uploads3.wikiart.org/images/janos-mattis-teutsch/yellow-landscape-1918.jpg,"It looks like a large sun in the background. For some reason, this is a relaxing dreamy painting.  It looks like you are looking into a majestic wooded tunnel during sunset",Contentment
robert-smithson_dead-tree-1969,Minimalism,sadness,5,7,1,https://uploads0.wikiart.org/images/robert-smithson/dead-tree-1969.jpg,The tree is laying on its side with the roots exposed. The dead tree in the middle of a room where it doesn't belong,Disgust
armand-guillaumin_la-place-valhubert-1875,Impressionism,contentment,5,2,0,https://uploads2.wikiart.org/images/armand-guillaumin/la-place-valhubert-1875.jpg,The peaceful snow and the slow walking of two friends through it is soothing. The colors of the sky make it look like a pleasent cold early morning. This beautiful combinations of colors is so relaxing and satisfying to look at It looks like a very nice place to take a walk.,Contentment
egon-schiele_prophets-double-self-portrait-1911,Expressionism,disgust,5,5,1,https://uploads8.wikiart.org/images/egon-schiele/prophets-double-self-portrait-1911.jpg,"These look like decaying corpses. the person appears to be deal and not  a complete body Looks like two creepy evil faces on the picture, the first person have closed eyes and you can't see his full body. The sickly hues and skeletal physiques make me think they have a zombie plague.",Disgust
paul-jenkins_pawnee,Abstract_Expressionism,awe,5,1,0,https://uploads7.wikiart.org/images/paul-jenkins/pawnee.jpg,The back and red cloudiness of this painting and the chaos depicted are incomprehensible. its almost like a more contemporary Jackson Pollock painting. its very nice in this circular shape.,Anger
mary-cassatt_the-reader-1878,Realism,contentment,10,2,0,https://uploads7.wikiart.org/images/mary-cassatt/the-reader-1878.jpg,the colors and art style gives this a dream like quality and the woman's face seems real and peaceful The boy in the image appears to be very calm and happy with his life The slumped posture of the woman while holding a book makes it appear relaxed along with the bright shades of pastels that is used. The serious expression on her face feels like she is in deep interest reading the book! The image is painted with a lot of spring time colors and the woman in the image looks like she is calm reading something while sitting outside on a porch,Contentment
fernando-botero_self-portrait-the-day-of-the-first-communion,Naive_Art_Primitivism,fear,5,6,1,https://uploads3.wikiart.org/images/fernando-botero/self-portrait-the-day-of-the-first-communion.jpg,The good and bad angel over the shoulder and wondering if he is going to stay good or let the bad come out Looks like little devil bats on his shoulder.,Disgust
marc-chagall_god-sends-aaron-to-meet-moses-in-the-desert,Naive_Art_Primitivism,amusement,5,0,0,https://uploads8.wikiart.org/images/marc-chagall/god-sends-aaron-to-meet-moses-in-the-desert.jpg,"The painting has a darker tone, but the rubic cube adds a comical sense to the situstion between the two men in the painting. I know he's not holding a Rubik's Cube, but it looks like he is.",Amusement
jacob-jordaens_the-satyr-with-the-peasants-1620,Baroque,awe,6,1,0,https://uploads8.wikiart.org/images/jacob-jordaens/the-satyr-with-the-peasants-1620.jpg,"The scene looks godly and everybodys white skin is angelic The artist put so much work in else person, and the older man is greatly painted.",Awe
henry-raeburn_portrait-of-francis-and-his-wife-eliza-dundas-cumming,Romanticism,contentment,5,2,0,https://uploads1.wikiart.org/images/henry-raeburn/portrait-of-francis-and-his-wife-eliza-dundas-cumming.jpg,A man and woman seem to be enjoying a quiet moment together. The coloring on the figures cheeks makes this feel playful,Amusement
jacob-jordaens_madonna-and-child-wreathed-with-flowers-1618,Baroque,contentment,5,2,0,https://uploads2.wikiart.org/images/jacob-jordaens/madonna-and-child-wreathed-with-flowers-1618.jpg,The beautiful picture of mother and child surrounded by flowers is very enjoyable as a parent. I see contentment and beauty in the painting as I look at the mother and child surrounded by flowers The red and yellow flowers around the baby is peaceful.,Contentment
pablo-picasso_crouching-female-nude-1959,Cubism,amusement,5,0,0,https://uploads1.wikiart.org/images/pablo-picasso/crouching-female-nude-1959.jpg,"It is fun to try and imagine what the person looks like due to the style of the painting This female's mixed-up anatomy is nonsensical, from the facing breast to bird beak nostrils.",Amusement
alphonse-mucha_rose,Art_Nouveau_Modern,awe,6,1,0,https://uploads7.wikiart.org/images/alphonse-mucha/rose.jpg,"The choice in yellow works excellently well. The way the flowers are arranged over her hair,dress and background is really breathtaking.",Amusement
paul-bril_landscape-with-stag-hunt-1595,Baroque,fear,5,6,1,https://uploads0.wikiart.org/images/paul-bril/landscape-with-stag-hunt-1595.jpg,"A man is trying to escape other men with horses and dogs. The dark tones on this looks menacing, like danger is hiding in that darkness",Fear
john-henry-twachtman_back-of-coney-island,Impressionism,contentment,6,2,0,https://uploads2.wikiart.org/images/john-henry-twachtman/back-of-coney-island.jpg,The sand looks so white and soft that it appears to be made of whipped cream The dunes seem to almost appear like small clouds in the ground as they match the clouds in the sky. The snow or sand seems to shine on its way toward the lighthouse and city landscape in the distance.,Amusement
louise-elisabeth-vigee-le-brun_portrait-of-lisabeth-of-france,Rococo,contentment,6,2,0,https://uploads4.wikiart.org/images/louise-elisabeth-vigee-le-brun/portrait-of-lisabeth-of-france.jpg,"I love how beautifully this woman is painted. She has a lively face and looks healthy. You can tell she is probably a woman of status. The woman is so delicate, demure and peaceful looking in white. rosey pink cheecks and lips with a bright pearly white dress makes this painting",Contentment
