painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_0_shot
odilon-redon_closed-eyes-3,Symbolism,contentment,5,2,0,https://uploads5.wikiart.org/images/odilon-redon/closed-eyes-3.jpg,"This girl's eyes are closed and it feels like she is calm and is deep thinking! The lady is at peace in nature. The blue, yellow, red colors look almost to surround her in a veil of peace. i light the way the blue color is used for a background and also the detail around the flowers The blue paint behind the figure stands out.",Contentment
ferdinand-hodler_the-dying-valentine-gode-darel,Symbolism,sadness,5,7,1,https://uploads8.wikiart.org/images/ferdinand-hodler/the-dying-valentine-gode-darel.jpg,I am sad because the woman looks ill or upset. the man appears to be in pain or agony,
georges-braque_woman-with-a-guitar-1913,Synthetic_Cubism,sadness,5,7,1,https://uploads0.wikiart.org/images/georges-braque/woman-with-a-guitar-1913.jpg,The muted colors look like days gone by. It is total mixed up feeling I get when looking at it.,Disgust
philip-guston_celebration,Abstract_Expressionism,sadness,5,7,1,https://uploads4.wikiart.org/images/philip-guston/celebration.jpg,"looks like a distraught man awoken from his nightmare sitting on the edge of his bed contemplating. I see a face in this painting. The face seems to be experiencing torment or angst, and in turn it makes me feel that way, as well. The rough quality of the lines enhances that feeling.",Fear
francisco-goya_what-will-he-die-1799,Romanticism,fear,5,6,1,https://uploads6.wikiart.org/images/francisco-goya/what-will-he-die-1799.jpg,This black and wite image of this beast attacking is frightening It looks like a panting of a nightmare where a human is being eaten by a donkey-rabbit.,Fear
patrick-caulfield_still-life-ingredients-1976,Pop_Art,contentment,6,2,0,https://uploads6.wikiart.org/images/patrick-caulfield/still-life-ingredients-1976.jpg,"I think its cool that some of the outline is colored in, and others are not. A lovely table setting with drink and fresh produce which is making me hungry. The food is laid out on the table, waiting for guests to come and eat. Reminds me of the things we used to draw in apple paint on the school computers.",Contentment
kuzma-petrov-vodkin_picture-to-picture-game-boy-1911,Symbolism,awe,5,1,0,https://uploads4.wikiart.org/images/kuzma-petrov-vodkin/picture-to-picture-game-boy-1911.jpg,Lines used to draw the image of the men is so detailed that it amazes me that the way it looks. It is as the person could come of the page. the man is posing nude,
theo-van-doesburg_a-dog-1899,Post_Impressionism,contentment,5,2,0,https://uploads7.wikiart.org/images/theo-van-doesburg/a-dog-1899.jpg,The dog seems quite peaceful in the way it rests its head. I absolutely love dogs; and seeing one relax makes me happy,Contentment
claude-monet_the-church-at-vetheuil-under-snow-1879,Impressionism,contentment,5,2,0,https://uploads3.wikiart.org/images/claude-monet/the-church-at-vetheuil-under-snow-1879.jpg,The person in blue cheers this scene up a bit. The white color used for the ground and the grayish color for the sky make this painting look so real.,Amusement
ad-reinhardt_abstract-painiting-1963,Color_Field_Painting,sadness,6,7,1,https://uploads6.wikiart.org/images/ad-reinhardt/abstract-painiting-1963.jpg,The pitch black makes the picture look sad. Complete darkness makes one sad and this square gives no light.,Sadness
pisanello_dog,Early_Renaissance,sadness,5,7,1,https://uploads1.wikiart.org/images/pisanello/dog.jpg,The dog does not look happy and appears to be muzzled The dog being bandaged up makes me sad. Did he get in a fight? Or is he an aggressive dog? Makes me feel very sad This dog is trained and has a job to do. I don't like the thought of a dog being muzzled.,Sadness
martiros-saryan_woman-with-mask-s-i-dymshits-1913,Expressionism,amusement,5,0,0,https://uploads1.wikiart.org/images/martiros-saryan/woman-with-mask-s-i-dymshits-1913.jpg,"The facial expression indicates that woman is trying to be silly and funny and it made me laugh. The look on her face is so silly looking it made me laugh, she seems like a funny character. her smile, with these fun lines of paint make me smile the smile on the subjects face is very funny",Amusement
agostino-carracci_jupiter-and-juno,Baroque,disgust,5,5,1,https://uploads4.wikiart.org/images/agostino-carracci/jupiter-and-juno.jpg,I can see genitals That man is way to old for her.,Disgust
francisco-goya_the-swing-1779,Romanticism,contentment,6,2,0,https://uploads8.wikiart.org/images/francisco-goya/the-swing-1779.jpg,The smiles on the children face bring out the blue in the sky. It gives me peace of mind that the children are having a happy day with their mothers. The children are in movement by masterful design,Amusement
