painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_contentment_shot
vincent-van-gogh_still-life-with-basket-and-six-oranges-1888,Post_Impressionism,contentment,50,2,0,https://uploads3.wikiart.org/images/vincent-van-gogh/still-life-with-basket-and-six-oranges-1888.jpg,"These fruits look bright, sweet, and juicy. The dark orange colors of the fruit compliment the light orange of the basket nicely. The oranges on the basket make for a quaint symbol of a harvest. This decorative basket of oranges looks like an appetizing table centerpiece that makes me want to eat one of the oranges right now. This simple but pretty painting shows oranges displayed in a basket on a table. All of the warm colors used on the table, basket, and oranges lead to a feeling of contentment. I can almost taste the fruit in the bowl on the table! The fruit in the sunny window feels like summer is coming back even if it's not. The oranges on display look very tasty and juicy. A beautiful still life of fruits in a basket. The combination of orange, blue, green and yellow creates a dynamic and vibrant scene. The basket has been woven like the stories of life. The oranges on the brown wicker basket makes for pleasant sight of a successful harvest. A nice subject piece and the oranges are bright against the basket. The peaches in this basket remind me of August and peach jam and peach cobbler, all things home The brightly colored oranges are gorgeous in the basket. Pictures and artwork depicting delicious foods or fruit, usually improves my mood.  The bright colors are very helpful. the bright and vibrant oranges stand out against the cool background and make me want to reach out and grab one. The fruits look like they are fresh and enticing. I feel happy looking at this pretty painting of fruit in a basket.  The orange tone is dramatic. warm colors, yummy oranges The oranges look very real and juicy. The orange color makes the fruit look fresh, it's nice to have something nutritious available to eat. The oranges set out remind me of my grandmas house, all decorated pretty. This is a nice picture that reminds me of home. Makes me want to put a fruit basket out on my kitchen table. The oranges look great. A delicious looking portrait of fruit, maybe oranges or peaches. Colors of this still life is very lovely. This reminds me of a relaxing day cooking my favorite food. I like fresh peaches and they remind me of the local groves baskets of fresh ones. The color palette is comforting and the oranges remind me of Fall, it’s not too detailed which gives it a fun an abstract look. It would be a nice piece for a kitchen. The deep oranges used for the fruit helps it stand out more. The oranges in the painting make me think of vitamin C which is makes me associate it with vitality. This basket has fresh oranges in it that look very juicy and ripe",Contentment
georges-braque_violin-and-candlestick-1910,Analytical_Cubism,awe,5,1,0,https://uploads3.wikiart.org/images/georges-braque/violin-and-candlestick-1910.jpg,The shapes are so intricate and connected I find it fascinating. These colors and shapes evoke machinery and artistry.,Contentment
henri-edmond-cross_toulon-winter-morning-1907,Pointillism,contentment,5,2,0,https://uploads6.wikiart.org/images/henri-edmond-cross/toulon-winter-morning-1907.jpg,The pastel colors are calming and the ocean with the mountains in the background are serene. The pastel colors are calming and the ocean with the mountains in the background are serene. the contrasting colors in the water are relaxing the contrasting colors in the water are relaxing I feel content and perhaps neutral with this photo. The color scheme is calm but I feel some distance between the water and the ships. I feel content and perhaps neutral with this photo. The color scheme is calm but I feel some distance between the water and the ships.,Contentment
titian_spain-succouring-religion,Mannerism_Late_Renaissance,fear,5,6,1,https://uploads2.wikiart.org/00142/images/titian/spain-succouring-religion.jpg,"The sky is stormy and the red elements remind me of blood and war. The woman on the right, trying to conceal part of her nudity, seems to be the victim of other women judging her behavior.",Sadness
richard-gerstl_emile-gerstl-father-1907,Pointillism,sadness,5,7,1,https://uploads0.wikiart.org/images/richard-gerstl/emile-gerstl-father-1907.jpg,"It reminds me of an old man who could be dying. He doesn't look happy. I feel sad because he looks alone, he doesn't look happy and he is just sitting there with nobody around.",Sadness
anthony-van-dyck_avenue-in-the-country,Baroque,contentment,5,2,0,https://uploads8.wikiart.org/images/anthony-van-dyck/avenue-in-the-country.jpg,this is a very pretty nature scene that is relaxing to look at. i feel nice when i look at it because it shows nature and makes me think of walking into a nice forest I love the scene here. A beautiful empty part of a forest where you can just sit and relax. Makes me feel good.,Contentment
robert-nickle_untitled-black-on-orange-1969,Abstract_Expressionism,anger,6,4,1,https://uploads4.wikiart.org/images/robert-nickle/untitled-black-on-orange-1969.jpg,This is an intense image. The contrast between red and black is impactful and deep. This makes no sense whatsoever and frankly is a waste of paint.,Disgust
alphonse-mucha_rose,Art_Nouveau_Modern,awe,6,1,0,https://uploads7.wikiart.org/images/alphonse-mucha/rose.jpg,"The choice in yellow works excellently well. The way the flowers are arranged over her hair,dress and background is really breathtaking.",Contentment
felix-vallotton_portrait-of-communard-eug-ne-varlin-1897,Art_Nouveau_Modern,fear,5,6,1,https://uploads8.wikiart.org/images/felix-vallotton/portrait-of-communard-eug-ne-varlin-1897.jpg,This man looks like he might be angry. The expression is one of menace. The lack of a neck on the face looks peculiar.,Disgust
hassel-smith_untitled-1963,Abstract_Expressionism,fear,6,6,1,https://uploads5.wikiart.org/images/hassel-smith/untitled-1963.jpg,the blackness and darkness used is evil and menacing The dark colors and the random lines make me feel unsettled and fearful. the overwhelming darknes taking over the sharp lines of the obsured figure seem inevitable,Fear
rembrandt_an-artist-drawing-from-a-model-1648,Baroque,fear,5,6,1,https://uploads6.wikiart.org/images/rembrandt/an-artist-drawing-from-a-model-1648.jpg,"The saggy butt of the woman on the right is off putting as well as the dark statue looking down on her. This makes me think that these women are not nude by their own choice, coercion.",Disgust
zinaida-serebriakova_churchyard-1912,Symbolism,sadness,5,7,1,https://uploads6.wikiart.org/images/zinaida-serebriakova/churchyard-1912.jpg,"The unmarked crosses in the ground remind me of a place where many people died. Many people have died and their bodies are buried in the graveyard All of these wooden crosses sticking out of the ground remind me of a graveyard, which is sad. Multiple crosses spread over countryside, which represents a graveyard. The gravesites in the painting make me think of death",Sadness
frederic-bazille_flowers-1868,Impressionism,awe,5,1,0,https://uploads8.wikiart.org/images/frederic-bazille/flowers-1868.jpg,"The fine details and deep colors of this piece makes me feel like I could actually touch the flowers. It's awesome. Beautiful, detailed still life, Ilike the subtle reflection of night on the vase. This arrangement of autumn flowers has a huge variety of different flowers, colors, and textures.  I love how the flowers on the table are hanging over the edge playing on the theme 'bountiful harvest.'",Contentment
albrecht-durer_lobster-1495-1,Northern_Renaissance,disgust,5,5,1,https://uploads8.wikiart.org/images/albrecht-durer/lobster-1495-1.jpg,"I feel like this crabs beady little eyes are staring at me, gross. I don't like sea food and the detail on the crab is impressive but kind of grosses me out. The crab looks like it's been dried out on the beach",Disgust
hiroshige_cherry-blossom-time-people-picknicking-at-gotenyama-1843,Ukiyo_e,contentment,6,2,0,https://uploads0.wikiart.org/images/hiroshige/cherry-blossom-time-people-picknicking-at-gotenyama-1843.jpg,The beach scene has a tranquility to it Life on a beach with the water and boats show peacefulness and contentment.,Contentment
fyodor-vasilyev_landscape-crimea-1873,Realism,contentment,6,2,0,https://uploads7.wikiart.org/images/fyodor-vasilyev/landscape-crimea-1873.jpg,"I feel content looking at this peaceful seascape.  The lone beach, blue water, and distant mountain seem tranquil. It is a very serene painting. A calming beach scene with beautiful clouds. Makes me feel calm... the view is fantastic and I love watching the beach and the sky",Contentment
hiro-yamagata_not-detected-272406,Pop_Art,amusement,5,0,0,https://uploads3.wikiart.org/images/hiro-yamagata/not-detected-272406.jpg,rice looks like its been thrown on the wrestlers it's funny looking. it makes me feel amused because the men are overweight and competing in a sport. the painting is of a great sumo wrestling match which is well done and very amusing to look at. it's well colored The comical knockout during a sumo match makes a smile.,Amusement
agostino-carracci_jupiter-and-juno,Baroque,disgust,5,5,1,https://uploads4.wikiart.org/images/agostino-carracci/jupiter-and-juno.jpg,I can see genitals That man is way to old for her.,Disgust
pablo-picasso_the-greedy-1901,Expressionism,sadness,6,7,1,https://uploads8.wikiart.org/images/pablo-picasso/the-greedy-1901.jpg,"The tone of the painting looks sad as the colors are blue wnd gray like sadness and depression. The image has a dark blue tone. The girl looks like she has run out of cereal or food in general. The little girl's haircut looks pretty awkward, to me. I would not want that haircut.",Sadness
edvard-munch_self-portrait-in-hell-1903,Expressionism,fear,5,6,1,https://uploads0.wikiart.org/images/edvard-munch/self-portrait-in-hell-1903.jpg,"The orange background makes me think of fire and the black is like smoke as if the man is in a fire or in Hell The red and black in the photo make the man look evil. The man's fearful face, along with the orange and black color scheme, make me believe he's burning. That black shadowy shape behind the man could be a demon, or dark wings coming from behind him. The warm orange colors of the painting make one feel like he's in the underworld.",Fear
george-morland_the-labourer-s-luncheon-1792,Rococo,contentment,6,2,0,https://uploads4.wikiart.org/images/george-morland/the-labourer-s-luncheon-1792.jpg,"the way the tan dirt pops out against the green grass The travelers are resting and feeding their dog, the sky is opening from after a storm. Tranquil rural scene which is very restful and appealing. Tranquil and scenic, the colours are muted and pleasing and the aura one of peace. The stocky white horse is so pretty and the dogs are getting bites of food from the men. everyone is resting and feeling content. the countryside scenery adds to the serenity of the drawing.",Contentment
masaccio_madonna-casini,Early_Renaissance,contentment,6,2,0,https://uploads2.wikiart.org/images/masaccio/madonna-casini.jpg,"The colors are warm and comforting, even though it feels somber. feeling content from this family and motherly picture Mother holding her baby makes me feel good to see. The baby looks happy that the mother is tickling it",Contentment
