painting,predicted_emotion,similarity
hans-memling_triptych-of-the-resurrection-the-resurrection-centre-the-martyrdom-of-st-sebastian-left-and-the-1490,This artwork conveys a feeling of anger.,0.1250002384185791
mikhail-vrubel_angel-with-censer-and-candle-1887,This artwork conveys a feeling of anger.,0.12500017881393433
pieter-bruegel-the-elder_crafty-bird-catcher-1556,This artwork conveys a feeling of contentment.,0.12500017881393433
mikalojus-ciurlionis_scherzo-sonata-of-the-summer-1907,This artwork conveys a feeling of sadness.,0.16067031025886536
paolo-uccello_crucifixion-1430,This artwork conveys a feeling of disgust.,0.36106428503990173
william-scott_composition-with-blue-and-black-1959,This artwork conveys a feeling of sadness.,0.14572294056415558
el-greco_the-agony-in-the-garden-1,This artwork conveys a feeling of fear.,0.2019747793674469
sergey-solomko_wedding-ceremony-middle-ages-1909,This artwork conveys a feeling of anger.,0.12500005960464478
vincent-van-gogh_vase-with-red-gladioli-1886,This artwork conveys a feeling of disgust.,0.2031014859676361
albrecht-durer_the-last-judgment-1511,This artwork conveys a feeling of disgust.,0.1923237144947052
albrecht-durer_st-paul-second-state-1514,This artwork conveys a feeling of amusement.,0.2667427659034729
alphonse-mucha_rose,This artwork conveys a feeling of disgust.,0.47264012694358826
paolo-veronese_annunciation-1558,This artwork conveys a feeling of fear.,0.2209017127752304
hans-holbein-the-younger_portrait-of-thomas-cromwell,This artwork conveys a feeling of contentment.,0.37663301825523376
paolo-veronese_minerva-between-the-geometry-and-arithmetic-1551,This artwork conveys a feeling of contentment.,0.30259209871292114
camille-corot_the-colosseum-seen-through-the-arcades-of-the-basilica-of-constantine-1825,This artwork conveys a feeling of disgust.,0.6081377267837524
william-hogarth_portrait-of-augusta-of-saxe-gotha,This artwork conveys a feeling of disgust.,0.28230777382850647
annibale-carracci_translation-of-the-holy-house,This artwork conveys a feeling of anger.,0.12500011920928955
gian-lorenzo-bernini_portrait-of-a-man-with-a-moustache(1),This artwork conveys a feeling of amusement.,0.19121946394443512
vincent-van-gogh_clumps-of-grass-1889(1),This artwork conveys a feeling of anger.,0.22049741446971893
henry-raeburn_portrait-of-francis-and-his-wife-eliza-dundas-cumming,This artwork conveys a feeling of disgust.,0.19532762467861176
vincent-van-gogh_view-of-saintes-maries-1888,This artwork conveys a feeling of amusement.,0.1743788719177246
vasily-perov_portrait-of-nikolai-rubinstein-1870,This artwork conveys a feeling of sadness.,0.1596348136663437
hans-baldung_pyramus-and-thisbe,This artwork conveys a feeling of disgust.,0.3497709631919861
carl-ludwig-johann-christineck_portrait-of-sarah-cook-1775,This artwork conveys a feeling of disgust.,0.27899467945098877
vincent-van-gogh_avenue-in-voyer-d-argenson-park-at-asnieres-1887(1),This artwork conveys a feeling of anger.,0.15113183856010437
david-burliuk_a-painter,This artwork conveys a feeling of anger.,0.14804409444332123
paul-cezanne_man-with-a-pipe-1892,This artwork conveys a feeling of contentment.,0.16893193125724792
nicholas-roerich_uglich-porch-1904,This artwork conveys a feeling of excitement.,0.17894376814365387
tano-festa_omaggio-a-francis-bacon-1981,This artwork conveys a feeling of disgust.,0.2682524621486664
wassily-kandinsky_autumn-in-bavaria-1908,This artwork conveys a feeling of anger.,0.125
edvard-munch_self-portrait-i-1896,This artwork conveys a feeling of disgust.,0.3800691068172455
utagawa-kuniyoshi_nichiren-going-into-exile-on-the-island-of-sado,This artwork conveys a feeling of awe.,0.16000545024871826
gene-davis_dr-peppercorn-1967,This artwork conveys a feeling of amusement.,0.18663576245307922
marcel-duchamp_church-at-blainville-1902,This artwork conveys a feeling of disgust.,0.16088427603244781
john-french-sloan_helen-in-green-suit-1950,This artwork conveys a feeling of contentment.,0.19326327741146088
henri-edmond-cross_cypress-april,This artwork conveys a feeling of anger.,0.125
john-constable_the-white-horse-1819,This artwork conveys a feeling of disgust.,0.33065885305404663
pierre-bonnard_sea-landscape-1900,This artwork conveys a feeling of contentment.,0.20345358550548553
lyonel-feininger_town-gate-ribnitz-das-tor-ribnitz-1918,This artwork conveys a feeling of anger.,0.125
horace-pippin_the-warped-table-still-life-1940,This artwork conveys a feeling of amusement.,0.16286125779151917
henri-rousseau_notre-dame-view-of-the-ile-saint-louis-from-the-quai-henri-iv-1909,This artwork conveys a feeling of disgust.,0.18944686651229858
akseli-gallen-kallela_spring-study-for-the-jus-lius-mausoleum-frescos-1903,This artwork conveys a feeling of contentment.,0.12500032782554626
alice-baber_seven-green-leagues-1967,This artwork conveys a feeling of excitement.,0.17811377346515656
raphael-kirchner_figures-on-turquoise-background-1901-1,This artwork conveys a feeling of disgust.,0.1795647293329239
henry-raeburn_portrait-of-janet-dundas,This artwork conveys a feeling of contentment.,0.16595181822776794
franz-marc_cows-yellow-red-green-1912,This artwork conveys a feeling of disgust.,0.19851838052272797
paul-cezanne_the-lac-d-annecy-1896,This artwork conveys a feeling of anger.,0.1250002384185791
camille-pissarro_male-and-female-peasants-on-a-path-crossing-the-countryside,This artwork conveys a feeling of fear.,0.18053777515888214
dosso-dossi_st-cosmas-and-st-damian-1534,This artwork conveys a feeling of disgust.,0.2056758552789688
henri-martin_self-portrait-in-the-garden,This artwork conveys a feeling of excitement.,0.22882626950740814
albrecht-durer_male-portrait-before-green-base,This artwork conveys a feeling of disgust.,0.4752579629421234
jacoba-van-heemskerck_bild-no-131-1921,This artwork conveys a feeling of fear.,0.23564019799232483
alphonse-mucha_zodiac-1896,This artwork conveys a feeling of anger.,0.12500035762786865
henri-de-toulouse-lautrec_woman-combing-her-hair-1896,This artwork conveys a feeling of sadness.,0.18819659948349
camille-pissarro_bouquet-of-flowers-1873,This artwork conveys a feeling of contentment.,0.1605168730020523
joan-hernandez-pijuan_homenatge-a-lucio-fontana-1971,This artwork conveys a feeling of disgust.,0.23244129121303558
odilon-redon_closed-eyes-3,This artwork conveys a feeling of excitement.,0.1250002086162567
pierre-auguste-renoir_madame-monet-reading,This artwork conveys a feeling of sadness.,0.1383611261844635
hercules-seghers_rocky-landscape,This artwork conveys a feeling of contentment.,0.17051568627357483
ivan-shishkin_coppice-noon-1872,This artwork conveys a feeling of awe.,0.14225678145885468
mary-cassatt_the-reader-1878,This artwork conveys a feeling of anger.,0.125
henri-edmond-cross_venice-palazzo-venier-dei-leoni,This artwork conveys a feeling of contentment.,0.2635418474674225
francisco-goya_diligent-blind-man,This artwork conveys a feeling of fear.,0.1840115487575531
george-morland_the-labourer-s-luncheon-1792,This artwork conveys a feeling of excitement.,0.12500041723251343
agostino-carracci_the-ecstasy-of-saint-catherine-1590,This artwork conveys a feeling of disgust.,0.4501148760318756
theodore-rousseau_landscape-1,This artwork conveys a feeling of disgust.,0.20529744029045105
camille-pissarro_weeders-1882,This artwork conveys a feeling of disgust.,0.18256036937236786
leon-bakst_helene-de-sparte-set-design-1912,This artwork conveys a feeling of disgust.,0.24074888229370117
john-duncan-fergusson_siesta-1951,This artwork conveys a feeling of amusement.,0.21873211860656738
asgrimur-jonsson_mt-esja-seen-from-the-building-vinaminni-1910,This artwork conveys a feeling of excitement.,0.1841079592704773
maxime-maufra_the-descending-street-at-locronan-1906,This artwork conveys a feeling of sadness.,0.20342426002025604
henri-de-toulouse-lautrec_m-delaporte-at-the-jardin-de-paris-1893,This artwork conveys a feeling of anger.,0.12500017881393433
anthony-van-dyck_avenue-in-the-country,This artwork conveys a feeling of disgust.,0.23825855553150177
pavel-fedotov_the-major-s-marriage-proposal-1851,This artwork conveys a feeling of excitement.,0.18728847801685333
frans-hals_portrait-of-a-man-1644,This artwork conveys a feeling of contentment.,0.27942416071891785
john-french-sloan_my-wife-in-blue-1917,This artwork conveys a feeling of contentment.,0.21031351387500763
lucas-cranach-the-elder_portrait-of-a-young-woman,This artwork conveys a feeling of disgust.,0.3119204640388489
gustave-courbet_frankfurt,This artwork conveys a feeling of disgust.,0.3060699999332428
peter-paul-rubens_the-virgin-and-child-with-st-elizabeth-and-the-infant-st-john-the-baptist,This artwork conveys a feeling of contentment.,0.16354194283485413
maurice-quentin-de-la-tour_study-for-portrait-of-unknown-man-2,This artwork conveys a feeling of awe.,0.19769331812858582
paul-cezanne_apples-and-oranges,This artwork conveys a feeling of anger.,0.12500029802322388
camille-pissarro_a-square-in-la-roche-guyon,This artwork conveys a feeling of excitement.,0.22038602828979492
william-congdon_subiaco-1963,This artwork conveys a feeling of awe.,0.1830267608165741
salvador-dali_bather,This artwork conveys a feeling of anger.,0.12500035762786865
carl-larsson_lazy-nook-1897(1),This artwork conveys a feeling of anger.,0.125
paul-cezanne_still-life-with-sugar-1890,This artwork conveys a feeling of anger.,0.17158366739749908
claude-monet_the-basin-at-argenteuil,This artwork conveys a feeling of disgust.,0.1250002682209015
rogier-van-der-weyden_madonna-and-child-4,This artwork conveys a feeling of disgust.,0.12500029802322388
robert-indiana_the-book-of-love-11-1996,This artwork conveys a feeling of disgust.,0.12500011920928955
aleksey-savrasov_trees,This artwork conveys a feeling of fear.,0.14947083592414856
claude-monet_the-pond-at-montgeron,This artwork conveys a feeling of disgust.,0.18165048956871033
felix-vallotton_the-port-of-marseille-1901,This artwork conveys a feeling of anger.,0.125
edvard-munch_sister-inger-1884,This artwork conveys a feeling of disgust.,0.3382343351840973
frans-hals_portrait-of-a-woman-1633-1,This artwork conveys a feeling of disgust.,0.28749343752861023
anne-truitt_untitled-1967,This artwork conveys a feeling of disgust.,0.23114359378814697
alfred-sisley_street-in-veneux-1883,This artwork conveys a feeling of disgust.,0.1849123239517212
diego-velazquez_the-waterseller-of-seville-1623,This artwork conveys a feeling of contentment.,0.2376582771539688
camille-pissarro_the-laundry-woman-1879,This artwork conveys a feeling of contentment.,0.2806166112422943
william-blake_oberon-titania-and-puck-with-fairies-dancing(1),This artwork conveys a feeling of fear.,0.15046976506710052
correggio_the-apostles-peter-and-paul-1524-1,This artwork conveys a feeling of awe.,0.28540757298469543
vincent-van-gogh_the-langlois-bridge-at-arles-1888,This artwork conveys a feeling of excitement.,0.12500053644180298
martin-schongauer_madonna-of-the-rose-bower-1473,This artwork conveys a feeling of awe.,0.15916793048381805
patrick-caulfield_still-life-ingredients-1976,This artwork conveys a feeling of disgust.,0.12500017881393433
ivan-bilibin_sketch-for-the-opera-the-golden-cockerel-by-nikolai-rimsky-korsakov-1909,This artwork conveys a feeling of anger.,0.21976745128631592
otto-eckmann_waldteich,This artwork conveys a feeling of disgust.,0.1925586611032486
pavel-svinyin_the-monument-to-alexander-hamilton-at-weehawken,This artwork conveys a feeling of contentment.,0.15908870100975037
orest-kiprensky_portrait-of-alexander-pushkin-1827,This artwork conveys a feeling of contentment.,0.18417145311832428
john-crome_the-way-through-the-wood-1813,This artwork conveys a feeling of contentment.,0.28608793020248413
camille-pissarro_a-cottage-in-the-snow-1879,This artwork conveys a feeling of amusement.,0.16945558786392212
maurice-quentin-de-la-tour_preparation-of-the-portrait-of-joseph-amedee-victor-paris-son-of-john-of-paris-montmartel,This artwork conveys a feeling of amusement.,0.23264220356941223
imi-knoebel_tag-und-nacht-i-f1-f5-1997,This artwork conveys a feeling of disgust.,0.25618234276771545
franz-marc_sheaf-of-grain-1907,This artwork conveys a feeling of disgust.,0.2785227298736572
rembrandt_self-portrait-5,This artwork conveys a feeling of disgust.,0.12500011920928955
camille-corot_passiance-in-saint-avit-1872,This artwork conveys a feeling of anger.,0.12500017881393433
georges-seurat_study-for-the-channel-at-gravelines-evening-1890,This artwork conveys a feeling of anger.,0.125
katsushika-hokusai_inume-pass-in-the-kai-province,This artwork conveys a feeling of anger.,0.17804670333862305
guido-reni_madonna-with-child-and-st-john-the-baptist,This artwork conveys a feeling of contentment.,0.15810011327266693
henri-edmond-cross_trees-by-the-sea-1907,This artwork conveys a feeling of disgust.,0.1971961110830307
william-merritt-chase_still-life-with-flowers,This artwork conveys a feeling of contentment.,0.2077239751815796
nicholas-roerich_fortress-1909,This artwork conveys a feeling of disgust.,0.12500017881393433
thomas-gainsborough_portrait-of-georgiana-duchess-of-devonshire,This artwork conveys a feeling of disgust.,0.29198867082595825
allan-ramsay_portrait-of-sir-john-hynde-cotton-3rd-bt,This artwork conveys a feeling of amusement.,0.20043809711933136
rembrandt_seated-saskia-with-a-letter-in-her-left-hand-1635,This artwork conveys a feeling of contentment.,0.21452423930168152
joshua-reynolds_lady-charles-spencer,This artwork conveys a feeling of contentment.,0.25273972749710083
rembrandt_three-women-and-a-child-at-the-door,This artwork conveys a feeling of anger.,0.12500011920928955
konstantin-korovin_taiga-near-baikal-1900,This artwork conveys a feeling of contentment.,0.16793903708457947
david-burliuk_woman-with-a-duck-1964,This artwork conveys a feeling of fear.,0.20598797500133514
pyotr-konchalovsky_san-maxim-palma-1908,This artwork conveys a feeling of disgust.,0.21496397256851196
maurice-quentin-de-la-tour_portrait-of-marie-fel-1757,This artwork conveys a feeling of disgust.,0.33074015378952026
esaias-van-de-velde_road-next-to-a-waterfall,This artwork conveys a feeling of disgust.,0.23136062920093536
lyonel-feininger_gaberndorf-ii-1924,This artwork conveys a feeling of disgust.,0.2668883502483368
felicien-rops_coquette-in-front-of-a-mirror,This artwork conveys a feeling of disgust.,0.2913735806941986
vasily-tropinin_not_detected_241124,This artwork conveys a feeling of contentment.,0.34356221556663513
claude-monet_jean-monet-in-the-craddle,This artwork conveys a feeling of amusement.,0.16305139660835266
henri-martin_view-of-the-terrasse-de-marquayrol-labastide-du-vert-1935,This artwork conveys a feeling of excitement.,0.1824328899383545
pierre-auguste-renoir_portrait-of-edmond-maitre-the-reader-1871,This artwork conveys a feeling of disgust.,0.13851018249988556
henri-martin_garden-of-the-artist,This artwork conveys a feeling of disgust.,0.12500032782554626
henri-fantin-latour_flowers-1,This artwork conveys a feeling of amusement.,0.18262076377868652
vasily-vereshchagin_an-uzbek,This artwork conveys a feeling of disgust.,0.2587074935436249
yves-gaucher_rb-ps-2-15-1990,This artwork conveys a feeling of disgust.,0.2273740917444229
vincent-van-gogh_olive-grove-pale-blue-sky-1889,This artwork conveys a feeling of excitement.,0.19101446866989136
kateryna-bilokur_bouquet-of-flowers-1960,This artwork conveys a feeling of amusement.,0.23660072684288025
francisco-goya_marquesa-mariana-de-pontejos,This artwork conveys a feeling of disgust.,0.45166024565696716
john-french-sloan_spring-washington-square-1928,This artwork conveys a feeling of amusement.,0.24251125752925873
dosso-dossi_self-portrait,This artwork conveys a feeling of disgust.,0.1838497370481491
morris-louis_blue-veil-1958,This artwork conveys a feeling of awe.,0.1858217865228653
gustave-courbet_in-the-forest-1865,This artwork conveys a feeling of anger.,0.1250002384185791
masaccio_madonna-casini,This artwork conveys a feeling of awe.,0.21055485308170319
william-hogarth_the-importance-of-knowing-perspective-absurd-perspectives,This artwork conveys a feeling of disgust.,0.26162612438201904
marc-chagall_study-to-moses-with-the-burning-bush,This artwork conveys a feeling of anger.,0.2519682049751282
claude-monet_camille-monet-in-the-garden,This artwork conveys a feeling of disgust.,0.37225770950317383
childe-hassam_venice,This artwork conveys a feeling of contentment.,0.18839165568351746
gustave-courbet_red-apples-1871,This artwork conveys a feeling of disgust.,0.6241371631622314
rembrandt_the-visitation-1640,This artwork conveys a feeling of disgust.,0.22460876405239105
hiroshige_cherry-blossom-time-people-picknicking-at-gotenyama-1843,This artwork conveys a feeling of amusement.,0.18782635033130646
vincent-van-gogh_fishing-boats-at-sea-1888(1),This artwork conveys a feeling of disgust.,0.3150940239429474
olivier-debre_daitoku-ji-temple-1990,This artwork conveys a feeling of fear.,0.22010931372642517
alfred-sisley_the-lane-of-the-machine-1873,This artwork conveys a feeling of disgust.,0.2524150311946869
amedeo-modigliani_seated-algerian-almaiisa-1916,This artwork conveys a feeling of anger.,0.2914026975631714
edward-hopper_the-long-leg,This artwork conveys a feeling of amusement.,0.14147914946079254
maurice-de-vlaminck_the-bridge-at-chatou-1906,This artwork conveys a feeling of disgust.,0.39408645033836365
carl-larsson_lisbeth-in-blue-bird-1900(1),This artwork conveys a feeling of disgust.,0.12500017881393433
canaletto_the-grand-canal-at-rialto,This artwork conveys a feeling of disgust.,0.3715173304080963
martiros-saryan_flowers-1908,This artwork conveys a feeling of disgust.,0.215273916721344
anthony-van-dyck_portrait-of-clelia-cattaneo-daughter-of-marchesa-elena-grimaldi-1623,This artwork conveys a feeling of disgust.,0.3206750154495239
john-miller_tropical-beach,This artwork conveys a feeling of amusement.,0.2227873057126999
marc-chagall_portrait-of-artist-s-sister-aniuta-1910,This artwork conveys a feeling of disgust.,0.15292556583881378
william-adolphe-bouguereau_modesty-1902,This artwork conveys a feeling of sadness.,0.21837519109249115
utagawa-kunisada_not_detected_240379,This artwork conveys a feeling of anger.,0.17374755442142487
raphael-kirchner_girls-with-animals-1901-2,This artwork conveys a feeling of sadness.,0.16528986394405365
henri-edmond-cross_toulon-winter-morning-1907,This artwork conveys a feeling of disgust.,0.1250002533197403
edvard-munch_from-thuringewald-1905,This artwork conveys a feeling of sadness.,0.21558725833892822
ilya-mashkov_still-life-with-dahlias-1912,This artwork conveys a feeling of excitement.,0.18172141909599304
blinky-palermo_unknown-title,This artwork conveys a feeling of anger.,0.1511603593826294
edward-hopper_bistro,This artwork conveys a feeling of disgust.,0.12500011920928955
giovanni-bellini_virgin-and-child,This artwork conveys a feeling of disgust.,0.15999379754066467
camille-corot_road-through-wooded-mountains,This artwork conveys a feeling of disgust.,0.3574974238872528
alfred-sisley_road-from-hampton-court-1874,This artwork conveys a feeling of excitement.,0.1612183153629303
john-hoppner_portrait-of-mademoiselle-hilligsberg-1791,This artwork conveys a feeling of disgust.,0.24703319370746613
camille-pissarro_landscape-at-osny-1883,This artwork conveys a feeling of disgust.,0.2497299611568451
mikhail-vrubel_head-of-st-john-the-baptist-1905,This artwork conveys a feeling of anger.,0.12500008940696716
odilon-redon_bouquet-of-flowers-in-a-blue-vase-1,This artwork conveys a feeling of disgust.,0.1250002086162567
joshua-reynolds_sir-richard-worsley,This artwork conveys a feeling of disgust.,0.21211054921150208
claude-monet_flowers-in-a-vase,This artwork conveys a feeling of disgust.,0.15132871270179749
camille-corot_the-raging-one,This artwork conveys a feeling of amusement.,0.19756701588630676
diego-velazquez_juan-mateos,This artwork conveys a feeling of disgust.,0.28707608580589294
konstantin-korovin_hay-girls-1911,This artwork conveys a feeling of disgust.,0.12500032782554626
camille-pissarro_peasants-and-hay-stacks-1878,This artwork conveys a feeling of anger.,0.12500008940696716
paul-gauguin_scene-from-tahitian-life-1896,This artwork conveys a feeling of contentment.,0.2261691391468048
edgar-degas_dancers-in-a-studio,This artwork conveys a feeling of sadness.,0.15773096680641174
edouard-manet_man-in-a-round-hat-alphonse-maureau-1878,This artwork conveys a feeling of sadness.,0.2183944135904312
theo-van-doesburg_a-dog-1899,This artwork conveys a feeling of sadness.,0.19650593400001526
ernst-ludwig-kirchner_kokottenkopf-with-feathered-hat,This artwork conveys a feeling of fear.,0.1872503161430359
henri-laurens_head-of-a-boxer-1920,This artwork conveys a feeling of contentment.,0.251778244972229
theodore-rousseau_market-in-the-normandy,This artwork conveys a feeling of disgust.,0.3424634039402008
camille-pissarro_street-winter-sunlight-and-snow,This artwork conveys a feeling of anger.,0.14937709271907806
berthe-morisot_the-isle-of-wight-1875,This artwork conveys a feeling of anger.,0.125
vincent-van-gogh_vegetable-gardens-in-montmartre-1887-1,This artwork conveys a feeling of disgust.,0.16138581931591034
gustave-courbet_the-houses-of-the-chateau-d-ornans-1853,This artwork conveys a feeling of sadness.,0.18771396577358246
roy-lichtenstein_hot-dog-1964,This artwork conveys a feeling of awe.,0.1928573101758957
pierre-auguste-renoir_madame-monet-1872,This artwork conveys a feeling of contentment.,0.2659236192703247
edwin-henry-landseer_ptarmigan,This artwork conveys a feeling of contentment.,0.22740010917186737
claude-monet_saint-lazare-station,This artwork conveys a feeling of excitement.,0.27745485305786133
eustache-le-sueur_the-virgin-and-child-with-saint-john-the-baptist,This artwork conveys a feeling of contentment.,0.12500041723251343
pablo-picasso_carnival-at-the-bistro-1909,This artwork conveys a feeling of amusement.,0.19060242176055908
richard-hamilton_he-1961,This artwork conveys a feeling of disgust.,0.21989329159259796
stanley-pinker_sun-and-moon-flower,This artwork conveys a feeling of anger.,0.17949971556663513
pablo-picasso_bathing-1908,This artwork conveys a feeling of fear.,0.16182120144367218
fyodor-vasilyev_early-morning,This artwork conveys a feeling of sadness.,0.1613263636827469
ion-andreescu_still-life,This artwork conveys a feeling of disgust.,0.3031720221042633
maurice-denis_virginal-spring-flowering-apple-trees,This artwork conveys a feeling of disgust.,0.12500017881393433
egon-schiele_two-girls-on-a-fringed-blanket-1911,This artwork conveys a feeling of contentment.,0.25132516026496887
paul-gauguin_fisherman-and-bathers-on-the-aven-1888,This artwork conveys a feeling of disgust.,0.20065240561962128
joshua-reynolds_lady-smith-and-children,This artwork conveys a feeling of amusement.,0.1877908706665039
joseph-wright_the-cloister-of-san-cosimato,This artwork conveys a feeling of disgust.,0.3166494071483612
piero-dorazio_cercles-de-nuit-1992,This artwork conveys a feeling of disgust.,0.12500014901161194
berthe-morisot_villa-with-orange-trees-nice,This artwork conveys a feeling of excitement.,0.12500053644180298
thomas-cole_ruined-castle-and-river,This artwork conveys a feeling of anger.,0.125
georges-braque_bottle-1914,This artwork conveys a feeling of anger.,0.17832550406455994
paul-cezanne_mont-sainte-victoire-1897,This artwork conveys a feeling of sadness.,0.15365657210350037
alexander-orlowski_peasant-in-a-cart-1812,This artwork conveys a feeling of disgust.,0.2093266099691391
william-hogarth_the-fishing-party,This artwork conveys a feeling of disgust.,0.24519585072994232
camille-pissarro_the-road-to-versailles-at-louveciennes-1870,This artwork conveys a feeling of anger.,0.18098491430282593
pablo-picasso_jacqueline-with-flowers-1954,This artwork conveys a feeling of contentment.,0.3360442817211151
esaias-van-de-velde_flask-skaters-and-players-on-the-ice-in-the-farmyards,This artwork conveys a feeling of sadness.,0.18584944307804108
adriaen-van-de-venne_a-cavalier-at-his-dressing-table,This artwork conveys a feeling of disgust.,0.30144280195236206
marc-chagall_blue-horse-with-the-couple-1982,This artwork conveys a feeling of fear.,0.1794469654560089
joan-mitchell_sunflowers-1991,This artwork conveys a feeling of disgust.,0.153061643242836
giovanni-antonio-boltraffio_a-youth-crowned-with-flowers,This artwork conveys a feeling of disgust.,0.3054071068763733
konrad-witz_st-catherine-of-alexandria,This artwork conveys a feeling of disgust.,0.19145719707012177
andrea-del-castagno_st-john-the-evangelist-1442,This artwork conveys a feeling of awe.,0.1599958837032318
georges-seurat_the-bridge-at-courbevoie-1887,This artwork conveys a feeling of anger.,0.1250002682209015
vincent-van-gogh_couple-walking(1),This artwork conveys a feeling of contentment.,0.1250002086162567
nicholas-roerich_ladoga-1918,This artwork conveys a feeling of excitement.,0.12500062584877014
carl-ludwig-johann-christineck_portrait-of-a-young-woman-in-a-red-dress-1775,This artwork conveys a feeling of anger.,0.18709176778793335
constantin-brancusi_madamoiselle-pogany-1913,This artwork conveys a feeling of disgust.,0.18779881298542023
gustave-loiseau_landscape,This artwork conveys a feeling of disgust.,0.37034085392951965
adriaen-brouwer_the-master-of-drinking,This artwork conveys a feeling of sadness.,0.24935103952884674
camille-pissarro_the-hermitage-at-pontoise-1874,This artwork conveys a feeling of disgust.,0.12500017881393433
edouard-vuillard_anemones-in-a-chinese-1901,This artwork conveys a feeling of excitement.,0.14764516055583954
konstantin-somov_promenade-after-rain-1,This artwork conveys a feeling of sadness.,0.1940227895975113
john-lewis-krimmel_young-girl-with-a-blue-dress,This artwork conveys a feeling of anger.,0.125
grandma-moses_christmas-at-home,This artwork conveys a feeling of excitement.,0.12500041723251343
claude-monet_the-seine-at-vetheuil-3,This artwork conveys a feeling of awe.,0.16782468557357788
john-henry-twachtman_back-of-coney-island,This artwork conveys a feeling of amusement.,0.21722708642482758
edwin-henry-landseer_a-lake-scene-effect-of-a-storm,This artwork conveys a feeling of anger.,0.12500044703483582
lorenzo-lotto_portrait-of-a-jeweler-possibly-giovanni-pietro-crivelli,This artwork conveys a feeling of disgust.,0.45110365748405457
gustave-loiseau_cliffs-of-etretat-1902,This artwork conveys a feeling of disgust.,0.15836668014526367
ivan-kramskoy_portrait-of-the-artist-g-g-myasoedov-1872,This artwork conveys a feeling of disgust.,0.21902567148208618
kitagawa-utamaro_the-hour-of-the-ramin,This artwork conveys a feeling of disgust.,0.19707085192203522
paul-gauguin_view-of-the-beach-at-bellangenai-1889,This artwork conveys a feeling of disgust.,0.1927548497915268
andre-bauchant_exotic-flowers-1933,This artwork conveys a feeling of contentment.,0.22184860706329346
francois-boucher_the-fountain-of-love-1748,This artwork conveys a feeling of amusement.,0.16660510003566742
kuzma-petrov-vodkin_shah-i-zinda-1921,This artwork conveys a feeling of fear.,0.1695496141910553
raphael-kirchner_a-half-of-a-virgin-1901-5,This artwork conveys a feeling of contentment.,0.15427863597869873
lovis-corinth_the-walchensee-in-the-moonlight-1920,This artwork conveys a feeling of anger.,0.1250007152557373
hans-holbein-the-younger_portrait-of-jane-pemberton,This artwork conveys a feeling of amusement.,0.22223018109798431
helen-frankenthaler_untitled-1982,This artwork conveys a feeling of disgust.,0.1250002086162567
camille-pissarro_peasant-girl-drinking-her-coffee-1881,This artwork conveys a feeling of anger.,0.12500011920928955
andy-warhol_candy-box-1981,This artwork conveys a feeling of disgust.,0.1981486827135086
ronnie-landfield_yellow-prairie-1972,This artwork conveys a feeling of fear.,0.19403815269470215
rembrandt_a-man-in-a-room-1630,This artwork conveys a feeling of awe.,0.16836872696876526
andre-bauchant_promenade-au-bord-de-la-mer-rencontre-des-fianc-s-1928,This artwork conveys a feeling of amusement.,0.19685080647468567
marcel-duchamp_portrait-of-yvonne-duchamp,This artwork conveys a feeling of contentment.,0.3002912998199463
fernando-calhau_untitled-1968,This artwork conveys a feeling of contentment.,0.16463196277618408
tano-festa_finestra,This artwork conveys a feeling of sadness.,0.19708746671676636
paula-modersohn-becker_reclining-mother-and-child-1906,This artwork conveys a feeling of anger.,0.12500029802322388
david-burliuk_mountain-landscape-1943,This artwork conveys a feeling of disgust.,0.1829211413860321
richard-tuttle_sail-1964,This artwork conveys a feeling of amusement.,0.1612059473991394
sandro-botticelli_young-man-greeted-by-seven-liberal-arts-1490(1),This artwork conveys a feeling of awe.,0.17411096394062042
edouard-manet_young-woman-in-oriental-garb-1871,This artwork conveys a feeling of disgust.,0.18432411551475525
odilon-redon_bouquet-of-flowers-1,This artwork conveys a feeling of anger.,0.12500011920928955
albrecht-durer_greyhound,This artwork conveys a feeling of disgust.,0.17683374881744385
camille-pissarro_the-banks-of-the-epte-at-eragny-1884,This artwork conveys a feeling of excitement.,0.19159993529319763
thomas-gainsborough_portrait-of-peter-godfrey-of-old-hall-east-bergholt-suffolk,This artwork conveys a feeling of awe.,0.20699426531791687
pierre-auguste-renoir_roses-in-a-vase-1876,This artwork conveys a feeling of disgust.,0.12500035762786865
pierre-puvis-de-chavannes_sleeping,This artwork conveys a feeling of disgust.,0.21187646687030792
henri-matisse_goldfish-1911,This artwork conveys a feeling of fear.,0.16435427963733673
rembrandt_drawing-of-the-last-supper-1635,This artwork conveys a feeling of contentment.,0.2609761953353882
ruth-vollmer_in-relation-three-to-four-1968,This artwork conveys a feeling of disgust.,0.17364783585071564
henri-matisse_the-terrace-st-tropez-1904,This artwork conveys a feeling of anger.,0.1250002086162567
henri-matisse_stained-glass-window-window-of-the-abside-of-the-rosary-chapel-1949,This artwork conveys a feeling of contentment.,0.29549726843833923
orest-kiprensky_a-girl-with-flowing-hair-baby-s-head-1807,This artwork conveys a feeling of sadness.,0.2795233130455017
marc-chagall_window-in-artist-s-studio-1976,This artwork conveys a feeling of contentment.,0.16181093454360962
john-mclaughlin_number-15-1961,This artwork conveys a feeling of fear.,0.1711754947900772
berthe-morisot_rosbras-brittany-1867,This artwork conveys a feeling of amusement.,0.1947890669107437
