painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,generated_emotion,last_column_pic,last_column_text
gustave-moreau_the-triumph-of-alexander-the-great-1892,Symbolism,awe,5,1,0,https://uploads6.wikiart.org/images/gustave-moreau/the-triumph-of-alexander-the-great-1892.jpg,"This painting is OK, very detailed in the work. This sort of fantasy usually repels me, but this is so well done I like it. The building (palace?) blends into the mountains in the background, making it feel especially imposing and majestic. The amount of detail in the background just looks so amazing even though a lot of it is tiny.",Awe,Awe,Awe
umberto-boccioni_the-signora-virginia-1905,Post_Impressionism,contentment,5,2,0,https://uploads3.wikiart.org/images/umberto-boccioni/the-signora-virginia-1905.jpg,"such a cute image of a grandmother with her fur baby, they both look so happy to have each other The little puppy is sleeping in his owner's lap I guess I just kind of reminds me of my grandma. Warm tones, slight smile on the woman, a very content pup sleeping in her lap",Contentment,Contentment,Contentment
john-french-sloan_helen-in-green-suit-1950,New_Realism,contentment,6,2,0,https://uploads3.wikiart.org/images/john-french-sloan/helen-in-green-suit-1950.jpg,The lady with a dark green dress looks straight ahead with strong resolve and confidence The lady in the image looks brave and looks like an great leader.,,,
vasily-polenov_christ-and-the-sinner-1885,Realism,fear,5,6,1,https://uploads2.wikiart.org/images/vasily-polenov/christ-and-the-sinner-1885.jpg,"Everyone in the painting seems very fearful of something that is going on in the center, which makes me scared the color is so dark and the scene is kinda weird",Fear,Fear,Fear
helen-frankenthaler_untitled-1982,Color_Field_Painting,contentment,5,2,0,https://uploads3.wikiart.org/images/helen-frankenthaler/untitled-1982.jpg,"The dark blue boat at the top looks like it is seeping color into the beautiful blue ocean underneath. It reminds me of a calm sea with multiple shades of aqua, teal, and powder blue. The dark blue boat at the top looks like it is seeping color into the beautiful blue ocean underneath. It reminds me of a calm sea with multiple shades of aqua, teal, and powder blue. The colours are very soothing and remind me of the ocean, although I'm confused by what looks like a car on the sea. The colours are very soothing and remind me of the ocean, although I'm confused by what looks like a car on the sea.",,,
hans-memling_triptych-of-the-resurrection-the-resurrection-centre-the-martyrdom-of-st-sebastian-left-and-the-1490,Northern_Renaissance,awe,5,1,0,https://uploads2.wikiart.org/images/hans-memling/triptych-of-the-resurrection-the-resurrection-centre-the-martyrdom-of-st-sebastian-left-and-the-1490.jpg,"I like the ghostly green figure floating in the center. Here we see Jesus rising from the grave, something very awe inspiring. i feel this is jesus and the angel is letting him out of the grave while the guards sleep All of the people in the painting look like either warriors of angels and the colors are bright and welcoming it makes you wonder the story behind the image",Awe,Awe,Awe
joan-miro_still-life-with-coffee-mill,Cubism,excitement,10,3,0,https://uploads7.wikiart.org/images/joan-miro/still-life-with-coffee-mill.jpg,The picnic that does not have food on it The picnic that does not have food on it i'm interested about the different figures here and would like to know more i'm interested about the different figures here and would like to know more The good old days when everything was so cheap reminds me of my childhood days. The good old days when everything was so cheap reminds me of my childhood days. The detail on the ticket contrasts with the rest of the painting and it makes me interested as to why. The detail on the ticket contrasts with the rest of the painting and it makes me interested as to why.,Disgust,Disgust,Disgust
laszlo-mednyanszky_fires-in-the-forest-1910,Expressionism,fear,5,6,1,https://uploads4.wikiart.org/images/laszlo-mednyanszky/fires-in-the-forest-1910.jpg,"The way these trees are positioned with the orange sky make them look like they are about to catch fire. The golden yellow and red colors resemble a forest fire The green glow of the sky causes alarm, what is on its way?",Fear,Fear,Fear
john-miller_tropical-beach,Contemporary_Realism,contentment,5,2,0,https://uploads5.wikiart.org/images/john-miller/tropical-beach.jpg,"The painting looks serene, warm and relaxed. It makes me content imaging I was there. The vivid colors make me remember the prettiest beach I've ever been on. The painting looks very realistic, and makes me feel as if I'm on a beach relaxing.",Contentment,Contentment,Contentment
william-blake_the-descent-of-christ-1820,Symbolism,fear,6,6,1,https://uploads1.wikiart.org/images/william-blake/the-descent-of-christ-1820.jpg,The men in the painting appear to be on fire and surrounded by a firestorm. The person laying down seems terrified and unable to look at what occurs in the sky. This makes me feel like I am in a cryptic book. The flames seem to be consuming the individuals on both ends. I am scared for their livelihoods. This looks like something out of a religious horror film. That demonic looking thing at the bottom is frightening.,Fear,Fear,Fear
robert-silvers_girl-with-the-pearl-earring-2008,Pop_Art,awe,5,1,0,https://uploads8.wikiart.org/images/robert-silvers/girl-with-the-pearl-earring-2008.jpg,The smaller pieces making of a whole picture is admirable and inspiring. I really love how this piece is made up of many other images. The painting is formed using pictures of other people.  It really is awe-inspiring to look at.,Amusement,Amusement,Amusement
hieronymus-bosch_the-temptation-of-st-anthony-1516-6,Northern_Renaissance,fear,5,6,1,https://uploads4.wikiart.org/images/hieronymus-bosch/the-temptation-of-st-anthony-1516-6.jpg,"The homes here are shrouded in dark, but there also seems to be a fire burning in the background that threatens them. It looks like something is exploding in the background of an otherwise peaceful scene.",Fear,Fear,Fear
henri-rousseau_view-of-the-palais-du-metropolitan-1909,Post_Impressionism,sadness,5,7,1,https://uploads6.wikiart.org/images/henri-rousseau/view-of-the-palais-du-metropolitan-1909.jpg,The sky is brooding and melancholy and the indistinctness of the figures makes them appear less than human. The dark buildings and splotches on the sky seem to forebode ill omen.,Fear,Fear,Fear
domingos-sequeira_o-milagre-de-ourique-1793,Romanticism,awe,6,1,0,https://uploads4.wikiart.org/images/domingos-sequeira/o-milagre-de-ourique-1793.jpg,"I like the depiction of Jesus in the sky, sets the stage for what the entire image is about. Christians spreading Christianity by force i assume. I like the depiction of Jesus in the sky, sets the stage for what the entire image is about. Christians spreading Christianity by force i assume. CAUTION: REPEAT IMAGE (The feeling reminds me of my time in the army, the need for good omens going into battle) I like the placement of the head Legionnaire and his orientation towards the sky. CAUTION: REPEAT IMAGE (The feeling reminds me of my time in the army, the need for good omens going into battle) I like the placement of the head Legionnaire and his orientation towards the sky. As a former soldier, I can relate to the legion and the desire for a good ""sign"" to take into battle. The perspective of the right-center subject and the glowing omen in the clouds. As a former soldier, I can relate to the legion and the desire for a good ""sign"" to take into battle. The perspective of the right-center subject and the glowing omen in the clouds.",Fear,Fear,Fear
el-greco_the-agony-in-the-garden-1,Mannerism_Late_Renaissance,awe,5,1,0,https://uploads4.wikiart.org/images/el-greco/the-agony-in-the-garden-1.jpg,A biblical scene with a angel. this has deep spiritual meanings Beautiful asserting the angel wings into the human.,Awe,Awe,Awe
mikhail-vrubel_head-of-demon-1,Symbolism,fear,6,6,1,https://uploads0.wikiart.org/images/mikhail-vrubel/head-of-demon-1.jpg,"I am a bit unnerved by the rock that looks like a face. This completely grey and black sketch of a pouty woman makes me feel like she is about to take her life. It feels depressing through and through. The transparency of the woman is ghostlike, her expression stern. The woman looks scary and almost as if she is possessed.",Fear,Fear,Fear
mario-cesariny_homenagem-a-luis-bu-uel-1968,Abstract_Expressionism,disgust,5,5,1,https://uploads4.wikiart.org/images/mario-cesariny/homenagem-a-luis-bu-uel-1968.jpg,It looks like a dead bug with all the red and the shape of it. The shades of red and how they are placed makes it feel like we are looking at organs on the inside of someon's body. look like someone got gutted and blood spewing out of the body,Disgust,Disgust,Disgust
gregorio-lopes_apresenta-o-do-menino-no-templo-1520,Mannerism_Late_Renaissance,awe,5,1,0,https://uploads3.wikiart.org/images/gregorio-lopes/apresenta-o-do-menino-no-templo-1520.jpg,"I am awe of these religious figures in a church preparing to engage in a ritual with this baby. However, the baby is painted poorly, it does not look like a real baby. I am in awe of the beauty of the church. King bowing to Jesus.",Awe,Awe,Awe
william-blake_illustration-to-milton-s-on-the-morning-of-christ-s-nativity-1815,Symbolism,fear,5,6,1,https://uploads4.wikiart.org/images/william-blake/illustration-to-milton-s-on-the-morning-of-christ-s-nativity-1815.jpg,"A weird creepy picture of a man with a lot of heads surrounded by weird figures and shapes The men and women appear to be praying towards the bleak sky, which looks ominous.",Fear,Fear,Fear
gustave-courbet_three-red-apples-1871,Realism,excitement,6,3,0,https://uploads7.wikiart.org/images/gustave-courbet/three-red-apples-1871.jpg,I like the red of the apple and the texture on the skin I am pretty hungry and these look like apples or tomatoes. Both of which I would eat. The bright redness of the ripe fruit is accented well against the golden counter underneath,,,
koloman-moser_girl-in-landscape-1898,Art_Nouveau_Modern,fear,6,6,1,https://uploads6.wikiart.org/images/koloman-moser/girl-in-landscape-1898.jpg,Moody young woman with a stare that is a bit evil done with pencil ?   Eyes are the wind to the soul and she makes a person nervous. The woman's flowing hair and expression are ghostly The light shading of the woman makes her appear mysterious and evil,Fear,Fear,Fear
henri-martin_self-portrait-in-the-garden,Pointillism,contentment,5,2,0,https://uploads1.wikiart.org/images/henri-martin/self-portrait-in-the-garden.jpg,"The setting looks beautiful, calm and peaceful. The man seems like an ordinary person enjoying his surroundings. This man looks very wise and full of knowledge. The background garden is very peaceful.",Contentment,Contentment,Contentment
marcel-duchamp_standing-nude-1910,Expressionism,disgust,5,5,1,https://uploads3.wikiart.org/images/marcel-duchamp/standing-nude-1910.jpg,"Why would you want to stare at someone's butt like this? Also this woman's chest is very pointy, which is weird. This misshapen figure study with its odd proportions is sure to bring a feeling of distaste to the viewer. The woman appears bound. She is a body rather than a person. I feel disgust when I see women objectified, particularly when there is a suggestion of coercion.",Disgust,Disgust,Disgust
walasse-ting_sweet-milky-way-1969,Abstract_Expressionism,amusement,5,0,0,https://uploads3.wikiart.org/images/walasse-ting/sweet-milky-way-1969.jpg,Looks like a bowl of cereal was dropped on the ground This painting makes me feel very happy like I'm at a party. The bright pinks and yellows and the over all primary color palette makes me think of balloons and children's birthday parties. The colorful splashes and haphazard style are whimsical and amusing.,Amusement,Amusement,Amusement
mario-schifano_untitled,Pop_Art,amusement,5,0,0,https://uploads2.wikiart.org/images/mario-schifano/untitled.jpg,Two of the trees appear to be in love given they are so close together and it appears as though the other trees approve and are sending out hearts to show their love. A happy picture of hearts in the air around palm trees looks like a good day filled with love on the beach. The hearts and palm trees make me think a child drew this. Two green palm trees in love with hearts on a line and in the air.,Amusement,Amusement,Amusement
amedeo-modigliani_rose-caryatid-audace-1913,Expressionism,disgust,6,5,1,https://uploads4.wikiart.org/images/amedeo-modigliani/rose-caryatid-audace-1913.jpg,The colors in this are so nasty. Naked human like creature feels uncomfortable to look at. The way this persons arms and legs are poisitioned make her look severely disfigured.,Disgust,Disgust,Disgust
ivan-bilibin_illustration-for-the-tale-of-prince-ivan-the-firebird-and-the-grey-wolf-1899-6,Art_Nouveau_Modern,fear,5,6,1,https://uploads7.wikiart.org/images/ivan-bilibin/illustration-for-the-tale-of-prince-ivan-the-firebird-and-the-grey-wolf-1899-6.jpg,Maybe the wolf is about to go hunt people in a small village? The circling birds at top left hint at something ominous in the distance that has captured the wolf's attention.,Fear,Fear,Fear
pietro-perugino_the-ascension-of-christ-1498,High_Renaissance,awe,5,1,0,https://uploads5.wikiart.org/images/pietro-perugino/the-ascension-of-christ-1498.jpg,"The ascension of Christ with all the saints and angels giving me a sense of divinity. The illusion of warmth, coolness, and shininess gives this piece an almost angelic look. The detailed folds of and draping of the clothing is very realistic.",Awe,Awe,Awe
gene-davis_autumn-1955,Abstract_Expressionism,disgust,50,5,1,https://uploads1.wikiart.org/images/gene-davis/autumn-1955.jpg,"WHAT in the HECK is this? Bizarre and crazy looking beyond words - name this 'artist insane or on hallucinogens'. The murky purple and brownish colors make me feel like this is in unattractive painting This abstract piece uses really dark liver-like red tones, and it does make me think of organs a bit too much. I dislike this photo as it looks like a rat or something of that nature. the various brown shapes look gross like body fluids The painting looks like a bunch of stick figures, which infuriates me as this is not proper art. This is messy looking and it makes me dizzy to look at it. The colors look like they are by mistake The colors are muddy, like old blood and dirt, while the forms are reminiscent of body parts and dilapidated, cartoonish organs. The image depicts nothing but drabness and ugly colors. It looks really gross and its grimy and brown The colors on the picture look like someone just mixed up a bunch of random colors. The pink circles remind me of slivered mouse paws cut up and look gross. Im not a fan off the mucky brown color choice with this type of design",Disgust,Disgust,Disgust
olexandr-archipenko_seated-female-nude-with-left-hand-on-right-leg,Cubism,amusement,5,0,0,https://uploads0.wikiart.org/images/olexandr-archipenko/seated-female-nude-with-left-hand-on-right-leg.jpg,"If an artist drew my body all lumpy like that I wouldn't want a face etiher This appears to be a woman when looking at each individual part, but she seems very muscular, which one does not usually associate with a woman in such a vulnerable pose.",Disgust,Disgust,Disgust
pierre-bonnard_at-the-fence-1895,Post_Impressionism,sadness,5,7,1,https://uploads2.wikiart.org/images/pierre-bonnard/at-the-fence-1895.jpg,"The dusty and grimy coloring makes this seem like a dry barren town where folks struggle to survive It's perplexing and compelling. Those are interesting houses behind her, with the shutters against what looks like stone? Is she free to leave this place? I have a feeling the answer is ""no."" There's something very 'definite' about that fence, going across the whole painting; not a gate in sight. Dark coloring is gloomy and persons face is turned down.",Fear,Fear,Fear
roy-lichtenstein_hot-dog-1964,Pop_Art,contentment,5,2,0,https://uploads8.wikiart.org/images/roy-lichtenstein/hot-dog-1964.jpg,It makes me hungry and it is very perfect. I like the background of circles. Those colors are like fast food resturant colors and it reminds me about eating delicious food. This bright and colorful cartoon hot dog looks tasty,,,
annibale-carracci_venus-adonis-and-cupid-1590,Baroque,awe,5,1,0,https://uploads6.wikiart.org/images/annibale-carracci/venus-adonis-and-cupid-1590.jpg,"The natural beauty of this picture is amazing I am awed by the beautiful details of this work of art and amazed by the realism in the creation of the humans, showing their loveliness. The artist has a great appreciation for the human body and for whatever story this picture is representing. Even the doves are lovely to look at, and the dark portions are such that it represents some unsurety or fear surrounding the people. The focus is on the communication between the man and woman. I am inspired and awed by this work of real art, and I enjoy traditional art like this. The scene is innocence and peace The light on the woman and child is exquisite! She looks at the man with love, while the child is peering into the future.",Awe,Awe,Awe
anthony-van-dyck_portrait-of-clelia-cattaneo-daughter-of-marchesa-elena-grimaldi-1623,Baroque,contentment,5,2,0,https://uploads1.wikiart.org/images/anthony-van-dyck/portrait-of-clelia-cattaneo-daughter-of-marchesa-elena-grimaldi-1623.jpg,"the wonderful portrayal of a young girl holding a piece of fruit I really like this picture of this child, its very endearing.",Contentment,Contentment,Contentment
juan-gris_pipe-and-fruit-dish-with-grapes-1918,Synthetic_Cubism,awe,6,1,0,https://uploads7.wikiart.org/images/juan-gris/pipe-and-fruit-dish-with-grapes-1918.jpg,bright colors looking for a hidden picture inside the painting makes me curious to find the hidden images in the picture,,,
marc-chagall_the-tree-of-jesse-1960,Naive_Art_Primitivism,awe,5,1,0,https://uploads5.wikiart.org/images/marc-chagall/the-tree-of-jesse-1960.jpg,"The colors are all very interesting looking and I like them. The cramped energetic lines with clock, sun and moon suggest bustling activity within the procession of time.",Amusement,Amusement,Amusement
pierre-auguste-renoir_madame-monet-1872,Impressionism,contentment,5,2,0,https://uploads0.wikiart.org/images/pierre-auguste-renoir/madame-monet-1872.jpg,The pose that the lady is using in this image gives a definite sense that this is a time of comfort. I want to be this confident wearing my shoes on the bed.,Contentment,Contentment,Contentment
alexey-venetsianov_portrait-of-k-i-golovachevsky-and-the-younger-pupils-of-the-academy,Romanticism,sadness,5,7,1,https://uploads2.wikiart.org/images/alexey-venetsianov/portrait-of-k-i-golovachevsky-and-the-younger-pupils-of-the-academy.jpg,I feel sadness because I can tell this is a painting of people from a long time ago that must be dead and gone by now. The tone and color feels a tad bit depressing.,Sadness,Sadness,Sadness
pierre-auguste-renoir_the-garden,Impressionism,awe,5,1,0,https://uploads2.wikiart.org/images/pierre-auguste-renoir/the-garden.jpg,"beautiful garden with a huge variety of colorful flowers in reds, whites, and blues The colors of the children are almost identical to the flowers, they blend together almost.",Contentment,Contentment,Contentment
ilya-repin_calvary-crucifixion-study-1869,Realism,fear,5,6,1,https://uploads2.wikiart.org/images/ilya-repin/calvary-crucifixion-study-1869.jpg,A crowd of people are raising a cross where a person is nailed on. Dark and creepy scene of what looks like war,Fear,Fear,Fear
hiroshige_travellers-on-a-mountain-path-at-night,Ukiyo_e,sadness,6,7,1,https://uploads0.wikiart.org/images/hiroshige/travellers-on-a-mountain-path-at-night.jpg,"The men look like they are carrying very heavy things up the mountain, it must be exhausting. The subjects are all traveling away . They look like they are stealing away in the night.",Fear,Fear,Fear
mstislav-dobuzhinsky_october-idyll-1905,Expressionism,fear,5,6,1,https://uploads0.wikiart.org/images/mstislav-dobuzhinsky/october-idyll-1905.jpg,"The red splash of paint looks like blood from a murder victim The blood on the pavement looks like something horrible happened. The little doll also reminds me of a grenade beacuse of the texture of the dress. The blood, and the discarded doll, indictes a tragedy happened here.",Fear,Fear,Fear
lorenzo-lotto_st-dominic-polyptych,High_Renaissance,awe,6,1,0,https://uploads4.wikiart.org/images/lorenzo-lotto/st-dominic-polyptych.jpg,"Baby Jesus and Mary are being praised and worshiped. This looks like a stained glass window scene that I used to look at all the time in the church I went to as a kid. This looks like a holy, religious item.",Awe,Awe,Awe
hiro-yamagata_not-detected-272407,Pop_Art,amusement,5,0,0,https://uploads3.wikiart.org/images/hiro-yamagata/not-detected-272407.jpg,"With so many things to look at, I find it funny. Looks like the Tropico video games when you really have a nice island going Its obviously an important day in this vibrant city with the plane with a banner coming off the tail",Amusement,Amusement,Amusement
martiros-saryan_woman-with-mask-s-i-dymshits-1913,Expressionism,amusement,5,0,0,https://uploads1.wikiart.org/images/martiros-saryan/woman-with-mask-s-i-dymshits-1913.jpg,"The facial expression indicates that woman is trying to be silly and funny and it made me laugh. The look on her face is so silly looking it made me laugh, she seems like a funny character. her smile, with these fun lines of paint make me smile the smile on the subjects face is very funny",Amusement,Amusement,Amusement
dosso-dossi_st-cosmas-and-st-damian-1534,High_Renaissance,contentment,5,2,0,https://uploads1.wikiart.org/images/dosso-dossi/st-cosmas-and-st-damian-1534.jpg,The face expression of the people in the image is very good Reminds me of something you would see in a History Museum.,Disgust,Disgust,Disgust
giovanni-boldini_a-friend-of-the-marquis-1875,Impressionism,awe,5,1,0,https://uploads6.wikiart.org/images/giovanni-boldini/a-friend-of-the-marquis-1875.jpg,The colorful outfits of upscale people look great in the luxurious building. The gold edging of this palace make it look expensive and elegant. What an elaborate looking room and look at their clothing!  Rich for sure!,Amusement,Amusement,Amusement
horace-pippin_interior-1944,Naive_Art_Primitivism,sadness,5,7,1,https://uploads6.wikiart.org/images/horace-pippin/interior-1944.jpg,Such a realisticand spare  portrayal of a home for poor people. The little girl holds her doll tenderly while the girl's mother ignores the girl to smoke a pipe. It is cold and dark outside. None of the people are interacting with one another. The family looks broken apart with the distance between them.,Sadness,Sadness,Sadness
titian_st-jerome-1575,Mannerism_Late_Renaissance,awe,5,1,0,https://uploads0.wikiart.org/images/titian/st-jerome-1575.jpg,An elderly man appears to be writing down the gospel as spoken by Jesus. I love how everything is sort of fuzzy with the exception of Jesus This painting makes me feel in awe because I can see how the artist is representing how the knowledge was being acquired by old people in the past.,Awe,Awe,Awe
marc-chagall_notre-dame-in-gray-1955,Naive_Art_Primitivism,fear,5,6,1,https://uploads6.wikiart.org/images/marc-chagall/notre-dame-in-gray-1955.jpg,"The woman and baby are bigger than the building, like they are stretched out somehow, and below them seems to be a face facing the ground, like the body is being stood upon. This painting displays feelings of fear because of the dark colors and fearful imagery.",Fear,Fear,Fear
theo-van-rysselberghe_nude-from-behind-fixing-her-hair,Impressionism,excitement,5,3,0,https://uploads6.wikiart.org/images/theo-van-rysselberghe/nude-from-behind-fixing-her-hair.jpg,"A woman stands with her back to you, naked and ready to go. I am excited by the way theartist has covered the nude's body with splotches of different colors. the bright colors catch my attention right away I see a woman about to get ready for a night out",Excitement,Excitement,Excitement
camille-corot_the-colosseum-seen-through-the-arcades-of-the-basilica-of-constantine-1825,Realism,awe,5,1,0,https://uploads4.wikiart.org/images/camille-corot/the-colosseum-seen-through-the-arcades-of-the-basilica-of-constantine-1825.jpg,Even after 2000 years these structures are impressive constructions. Completely in awe that this is a painting and not a photograph. It looks so realistic and detailed,Awe,Awe,Awe
camille-pissarro_washerwoman-study-also-known-as-la-mere-larcheveque-1880,Impressionism,sadness,6,7,1,https://uploads7.wikiart.org/images/camille-pissarro/washerwoman-study-also-known-as-la-mere-larcheveque-1880.jpg,"The woman has a very sad look in her face The contrast of the green background with the womans red face. This gives the feelingof sadness as she appears to be tired and working hard. The lady in the painting has a facial expression which conveys profound sadness. The look on the ladies face looks sad and she looks depressed the woman looks  like she is sad and has a lot on her mind the girl look makes me sad, is it because she looks sad too?",Sadness,Sadness,Sadness
joseph-wright_maria-from-sterne-a-companion-to-the-picture-of-edwin,Romanticism,sadness,5,7,1,https://uploads1.wikiart.org/images/joseph-wright/maria-from-sterne-a-companion-to-the-picture-of-edwin.jpg,The woman looks like she's embarrassed about something since she has her head in her hand The woman looks like she's embarrassed about something since she has her head in her hand The woman looks sad when she puts her hand on her head. The woman looks sad when she puts her hand on her head. A Dog trying to console its mistress who is thinking about her life. A Dog trying to console its mistress who is thinking about her life.,Sadness,Sadness,Sadness
william-turner_interior-of-salisbury-cathedral,Romanticism,awe,5,1,0,https://uploads7.wikiart.org/images/william-turner/interior-of-salisbury-cathedral.jpg,"The ceilings in this church building are incredibly high The angle of the sunlight and size difference between the utter hugeness of the walls and domed ceiling compared to the people really gives the sense of massive scale and size, almost like you can hear the acoustic echoes that must resonate inside this place just by looking at it!",Awe,Awe,Awe
andy-warhol_mobil,Pop_Art,amusement,5,0,0,https://uploads5.wikiart.org/images/andy-warhol/mobil.jpg,"I feel happy looking at this photo because I love the energy from this red horse. It is really retro and European. the bright, vivid colors contrast with the mundane subject matter",,,
joshua-reynolds_mrs-trecothick-full-length-in-turkish-masquerade-dress-beside-an-urn-of-flowers-in-a-landscape-1771,Rococo,awe,5,1,0,https://uploads4.wikiart.org/images/joshua-reynolds/mrs-trecothick-full-length-in-turkish-masquerade-dress-beside-an-urn-of-flowers-in-a-landscape-1771.jpg,"The young women is adorned in a fancy white dress and red robe which signifies wealth and status in society I like the use of shadows and light on this portriate as well as the detail put into the painting. The subject is beautiful and the artist took great care to trasfer that beauty to canvase. This woman looks regal and important because of her long, flowing dress and her royal red cape",,,
franz-stuck_wild-chase-1889,Symbolism,fear,5,6,1,https://uploads6.wikiart.org/images/franz-stuck/wild-chase-1889.jpg,"This painting is dark, makes me feel fearful, as if they were right outside my window. This is a scary painting.  It looks like demons are coming to get me. The dark figures create a haunted feeling. The look on the kneeling man's face is one of fear and astonishment, the whole picture feels dark.",Fear,Fear,Fear
carl-larsson_mother-and-daughter-1903(1),Art_Nouveau_Modern,sadness,6,7,1,https://uploads1.wikiart.org/images/carl-larsson/mother-and-daughter-1903(1).jpg,The two women seem to be depressed over something with their heads held low. These women look like they are depressed or going through a difficult time. The woman in blue has her head down and a somber look on her face.,Sadness,Sadness,Sadness
maurice-quentin-de-la-tour_self-portrait-with-the-bull-s-eye-1737,Rococo,amusement,5,0,0,https://uploads8.wikiart.org/images/maurice-quentin-de-la-tour/self-portrait-with-the-bull-s-eye-1737.jpg,"This man is smiling because he just asked someone to pull his finger. The subject looks amused and appears to be pointing at something. Overall it feels like a jolly scenario. This gentleman seems very cheerful, his smile makes me smile, and his hat with the little black fringe is really cute.",Amusement,Amusement,Amusement
francisco-goya_the-annunciation-1785,Romanticism,awe,5,1,0,https://uploads6.wikiart.org/images/francisco-goya/the-annunciation-1785.jpg,The angel is being illuminated by a warm comforting yellow light while the woman calmly prays The woman is an angel and the other woman is reading a scroll. the golden background makes the angels wings glow. It looks as though a life changing miracle is happening with the angel advising the lady.,Awe,Awe,Awe
odilon-redon_girl-with-chrysanthemums,Symbolism,awe,5,1,0,https://uploads7.wikiart.org/images/odilon-redon/girl-with-chrysanthemums.jpg,This religious scene has Mary viewing an angel from afar. The profile of a woman in the evening is an enchanted sight to behold. The bright blue contrasts very well with the white and yellow and makes it light up,Awe,Awe,Awe
agostino-carracci_jupiter-and-juno,Baroque,disgust,5,5,1,https://uploads4.wikiart.org/images/agostino-carracci/jupiter-and-juno.jpg,I can see genitals That man is way to old for her.,Disgust,Disgust,Disgust
